hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
各必各	各必各	NONE	kə -piəʔ-kəʔ	гэбигэ	копейка		A:02b-04 ʔ壹個 
貳個 各浪什	贰个 各浪什	NONE	kəʔ-lɐ-səʔ	гэласэ	грош		A:02b-04 
啊噔	啊噔	NONE	aʔ-təŋ	атэн	алтын		A:02b-04 三個 
必大伏	必大伏	NONE	piə -ta-fəʔ ʔ	бидафэ	пятак		A:02b-05 五個
各利文	各利文	NONE	kə -li-vəŋ ʔ	гэливэн	гривна		A:02b-05 拾個 
定艮十坎	定艮十坎	NONE	tiŋ-niŋ-səʔ-k‘æ̃	диннинсэкэ	денежка		A:02b-05 半個
補路什坎	补路什坎	NONE	pu-ləu-sə -k‘æ̃ ʔ	булоусэкэ	полушка		A:02b-05 一路路
史唐佃席地	史唐佃席地	NONE	sɿ-t‘ɐ t‘ie-ɕiəʔ-ti	сыта тесиди	сто десять		A:03a-01 壹伯壹
獨凹哨的	独凹哨的	NONE	tuəʔ-va-sau-tiəʔ	дува саоди	два сот (двести)		A:03a-01 貳伯
獨凹哨的獨凹此地	独凹哨的独凹此地	NONE	tuə -va-sau-tiə  ʔ ʔ tuəʔ-va-ts‘ɿ-ti	дува саоди дувацыди	два сот двадцать (двести двадцать)		A:03a-01 貳伯貳
的利哨的	的利哨的	NONE	tiə -li-sau-tiə  ʔ ʔ	дилисаоди	три сот (триста)		A:03a-02 叄伯
的利哨的的利此地	的利哨的的利此地	NONE	tiəʔ -li-sau-tiəʔ tiəʔ-li-ts‘ɿ-ti	дилисаоди дилицыди	три сот тридцать (триста тридцать)		A:03a-02 三伯三
俏的利哨的	俏的利哨的	NONE	ʨ‘iau-tiə -li-sau- ʔ tiəʔ	чётлисот	четыре сот (четыреста)		A:03a-02 四伯
俏的利哨的哨而哥	俏的利哨的哨而哥	NONE	ʨ‘iau-tiə -li-sau- ʔ tiəʔ sau-ər-kɤ	цяодилисаоди саорго	четыреста сорок		A:03a-03 四伯四
癟地史唐	瘪地史唐	NONE	pie-ti-sɿ-t‘ɐ	бедисыта	пять сто (пятьсот)		A:03a-03 五伯
癟地史唐𭴧地下地	瘪地史唐𭴧地下地	NONE	pie-ti-sɿ-t‘ɐ pie-ti-ɕia-ti	педиста педисяти	пять сто пятьдесят (пятьсот пятьдесят)		A:03a-03 五伯五
射史哨的	射史哨的	NONE	sɤ-sɿ-sau-tiəʔ	сосысаоди	шестьсот		A:03a-04 六伯
謝米史唐	谢米史唐	NONE	ɕie-mi-sɿ-t‘ɐ	семисыта	семь сто (семьсот)		A:03a-04 七伯
臥謝米史唐	卧谢米史唐	NONE	vɤ-ɕie-mi-sɿ-t‘ɐ	восемисыта	восемь сто (восемьсот)		A:03a-04 八伯 
佃尾地哨的	佃尾地哨的	NONE	t‘ie-vei-ti-sau-tiə	тевэйдисаоди	девятьсот		A:03a-05 九伯 
 哦定佃昔成	 哦定佃昔成	NONE	γɤ-tiŋ t‘ie-ɕiəʔ ts‘əŋ	один тесицэн	один тысяча (одна тысяча)		A:03a-05 壹千
佃昔成獨凹哨的	佃昔成独凹哨的	NONE	t‘ie-ɕiəʔ-ts‘əŋ tuəʔ-va-sau-tiəʔ	тесицэн дувасаоди	тысяча два-сот (тысяча двести)		A:03a-05 壹千二 
未什年外	未什年外	NONE	vei-səʔ-nie-vai	вэйсэневай	вишнёвый		A:03b-02 伏靑 
俏兒內	俏儿内	NONE	ʨ‘iau-ər-nuei	цяорнуй	чёрный		A:03b-02 元靑 
哈老	哈老	NONE	xa-lau	халао	алый		A:03b-02 桃紅 
各拉史內	各拉史内	NONE	kə -la-sɿ-nuei ʔ	гэласынуй	красный		A:03b-03 大紅 
賁寸外	贲寸外	NONE	pəŋ-ts‘uŋ-vai	бэнцунвай	пунцовый		A:03b-03 銀紅 
西未的浪日力蓋	西未的浪日力盖	NONE	ɕi-vei-tiə -lɐ  ʔ zəʔ-liəʔ-kai	сивэйдила-зэлигай	светло-желигой		A:03b-03 掛紅 
沙合兒賁垻坎	沙合儿贲垻坎	NONE	sa-xə -ər  ʔ pəŋ-pa-k‘æ	сахэр-бэнбакэ	сахар-бумага (сахарно-белый цвет)		A:03b-04 靑蓮 
哦羅之外	哦罗之外	NONE	γɤ-luɤ-tsɿ-vai	олоцзывай	розовый		A:03b-04 水紅 
非勿煉的外	非勿炼的外	NONE	fei-vəʔ-lie-tiəʔ-vai	фэйвэледивай	фиолетовый		A:03b-04 蓮靑 
補兒各浪的力浪外	补儿各浪的力浪外	NONE	pu-ər-kəʔ-lɐ-tiəʔ liəʔ-lɐ-vai	бургэлади-лилавай	пурклад-лиловый (ярко-синий)		A:03b-04 蓮靑 
日煉之	日炼之	NONE	zəʔ-lie-tsɿ	зэлецзы	железный [цвет]		A:03b-05 赤藍 
洛交兒內	洛交儿内	NONE	luə -ʨiau-ər-nuei ʔ	луцзяорнуй	лазурный		A:03b-05 寶藍 
昔力各流求	昔力各流求	NONE	ɕiə -liə -kəʔ ʔʔ-liəu-ʨ‘iəu	сили-гэлюцю	серо-горючий		A:03b-05 玉藍 
古路白	古路白	NONE	ku-ləu-pai	гулоубай	голубой		A:04a-01 月藍 
西銀	西银	NONE	ɕi-iŋ	сиин	синий		A:04a-01 翠藍 
俊門內	俊门内	NONE	ʨyŋ-məŋ-nuei	цзюнмэннуй	тёмный (тёмно-синий)		A:04a-01 深藍 
牙恆達外	牙恆达外	NONE	ia-xəŋ-ta -vai	яхэндавай	яхонтовый [цвет]		A:04a-02 石藍
甲料內	甲料内	NONE	ʨia -liau-nuei ʔ	цзяляонуй	зелёный		A:04a-02 官綠
各兒被文內	各儿被文内	NONE	kə -ər-pei-vəŋ-nuei ʔ	гэрбэйвэннуй	крапивенный [цвет]		A:04a-02 油綠
秋夏外	秋夏外	NONE	ʨ‘iəu-ɕia-vai	цюсявай	чусовый (зелёный цвет сосны)		A:04a-03 松綠
不浪淂利	不浪淂利	NONE	pə -lɐ-tiəʔ-li ʔ	бэладили	платри (оттенок зелёного)		A:04a-03 泙(萍)綠
繞達	绕达	NONE	zau-taʔ	заода	желтый		A:04a-03 鵝黃
日力蓋	日力盖	NONE	zəʔ-liəʔ-kai	зэлигай	желигой (золотисто-жёлтый)		A:04a-04 金黃
各費內	各费内	NONE	kəʔ-fei-nuei	гэфэйнуй	кофейный [цвет]		A:04a-04 宗色
七令木合外	七令木合外	NONE	ʨ‘iəʔ-liŋ-məʔ-xəʔ-vai	цилинмэхэвай	черёмуховый (тёмно-коричневый)		A:04a-04 醬色
癟洛	瘪洛	NONE	pie-luə  ʔ	белу	белый		A:04a-05 白色
池銀內	池银内	NONE	ts‘ɿ-iŋ-nuei	цыиннуй	чиинный (цвет брюха рыбы)		A:04a-05 魚白
七令個外	七令个外	NONE	ʨ‘iəʔ-liŋ-kɤ-vai	цилинговай	цилинговый (сандаловый цвет)		A:04a-05 紫檀
米令內	米令内	NONE	mi-liŋ-nuei	милиннуй	милинный		A:04b-01 紫花
麻令浪外	麻令浪外	NONE	ma-liŋ-lɐ-vai	малинлавай	малиновый [цвет]		A:04b-01 眞紫
巴力外	巴力外	NONE	pa-liə -vai ʔ	баливай	палевый		A:04b-01 米色
俊內	俊内	NONE	ʨyŋ-nuei	цзюннуй	тёмный		A:04b-02 沉香
里冒兒內	里冒儿内	NONE	li-mau-ər-nuei	лимаорнуй	лимонный [цвет]		A:04b-02 秋香
各利什年外	各利什年外	NONE	kə -li-sə -nie-vai ʔ ʔ	гэлисэневай	коричневый		A:04b-02 火香
登木池外	登木池外	NONE	təŋ-mə -ts‘ɿ-vai ʔ	дэнмэцывай	дымчивый (дымчатый)		A:04b-03 灰色
麻念兒	麻念儿	NONE	ma-nie-ər	манер	манер (узор)		A:04b-03 洋花
達凹利什內	达凹利什内	NONE	taʔ-va-li-səʔ-nuei	давалисэнуй	двуличный (двуличневый)		A:04b-03 閃花
蜜兒達凹	蜜儿达凹	NONE	miə -ər-taʔ-va ʔ	мирдава	миртовый [цвет]		A:04b-04 竹葉靑
癟地藍	瘪地蓝	NONE	pie-ti-læ̃	бедилэ	пятна (набивной)		A:04b-04 印花
ʔ襪昔令個外	ʔ袜昔令个外	NONE	va -ɕiə -liŋ-kɤ-vai ʔ	василинговай	узорчатый; веселинковый		A:04b-04 鶯背
别哨什內	别哨什内	NONE	piə -sau-sə -nuei ʔ	бисаосэнуй	песочный (цвет иностранной шерсти)		A:04b-05 ʔ洋絨 
哦力伏個外	哦力伏个外	NONE	 γɤ-liəʔ-fəʔ-kɤ-vai	олифэговай	оливковый [цвет]		A:04b-05茶合 
各未計什內	各未计什内	NONE	kə -vei-ʨi-sə -nuei ʔ	гэвэйцзисэнуй	гвоздичный (бронзовый [цвет])		A:04b-05 ʔ古銅 
古令內	古令内	NONE	ku-liŋ-nuei	гулиннуй	кринный (светло-лиловый)		A:05a-01 藕合 
狄木欠	狄木欠	NONE	tiəʔ-məʔ-ʨ‘ie	димэце	дымча (дымчатый)		A:05a-01 墨合 
勿力不流子	勿力不流子	NONE	və -liəʔ-pəʔ-liəu-tsɿ	вэлибэлюцзы	верблюжий [цвет]		A:05a-01 ʔ駝絨 
熊錯外	熊错外	NONE	ɕyŋ-ts‘uɤ-vai	сюнцовай	свинцовый [цвет]		A:05a-02 鐵色 
下克此未地	下克此未地	NONE	ɕia-k‘əʔ-ts‘ɿ-vei-ti	сякэ-цывэйди	всяк-цветы (разноцветный)		A:05a-02 襍色 
的利此未地	的利此未地	NONE	tiə -li-ts‘ɿ-vei-ti ʔ	тили-цывэйди	три-цветы (трехцветный)		A:05a-02 三色 
别力外此未地	别力外此未地	NONE	piəʔ-liəʔ-vai-ts‘ɿ-vei-ti	биливай-цывэйды	переливай-цветы (разноцветный)		A:05a-03 各色 
各拉淂坎	各拉淂坎	NONE	kə -la-tiə -k‘æ̃ ʔ ʔ	гэладикэ	гладкий		A:05a-03 素的 
淂拉伏坎	淂拉伏坎	NONE	tiəʔ-la-fəʔ-k‘æ̃	дилафэкэ	травка (пёстрый)		A:05a-03 花的 
俊門內 	俊门内 	NONE	ʨyŋ-məŋ-nuei	цзюнмэннуй	тёмный		A:05a-04 深的 
西未淂浪	西未淂浪	NONE	ɕi-vei-tiəʔ -lɐ	сивэйдила	светлый		A:05a-04 淡的
納各兩由七要兒的 	纳各两由七要儿的 	NONE	na  kə -liɐ-iəu ʔ ʨ‘iəʔ-iau-ər-tiəʔ	на гэляю цияорди	на клею твердый (накрахмаленный)		A:05a-04 漿信 
具力佃史 	具力佃史 	NONE	ʨy-liəʔ-t‘ie-sɿ	цзюлитисы	слетишь (нельзя стирать)		A:05a-05 不耐澡
别力硬的 	别力硬的 	NONE	piəʔ-liəʔ-iŋ-tiəʔ	билиинди	перейти (линять)		A:05a-05 落色力 
念别力硬淂 	念别力硬淂 	NONE	nie piə -liə -iŋ-tiə  ʔ ʔ	не билиинди	не перейти (не линять)		A:05a-05 ʔ不落色 
史哥力别力硬 	史哥力别力硬 	NONE	sɿ-kɤ-lieʔ pieʔ-lieʔ-iŋ	сыголи билиин	скоро перей[ти] (быстро линять)		A:05b-01 就落拉 
各洛史坎	各洛史坎	NONE	kəʔ-luəʔ -sɿ-k‘æ̃	гэлусыкэ	крошка (накладной узор)		A:05b-01 油上淂顏色
卜蘭則外	卜兰则外	NONE	pəʔ-læ̃-tsəʔ-vai	бэлэцзэвай	розовый		A:05b-01 妃色
又史到的伏坎	又史到的伏坎	NONE	iəu-sɿ-tau-tiəʔ-fəʔ-k‘æ̃	юсыдаодифэкэ	юстативка (узорный)		A:05b-02 滿身淂花樣 
干府	干府	NONE	kæ̃-fu	гэфу	канфа		A:05b-04 漢府緞 
悞絲	悞丝	NONE	u-sɿ	усы	ус [ткань]		A:05b-04 五絲緞 
又不什坎	又不什坎	NONE	iəu-pəʔ-səʔ-k‘æ̃	юбэсэкэ	юбушка (кайма для юбок)		A:05b-04 裙料緞 
各洛泥杜兒	各洛泥杜儿	NONE	kə -luə -ni-tu-ər ʔ ʔ	гэлунидур	гродетур		A:05b-05 線緞 
不史大尾	不史大尾	NONE	pə -sɿ-ta-vei ʔ	бэсыдавэй	поставый (постав)		A:05b-05 緞子 
波兒善高難	波儿善高难	NONE	pɤ-ər-sæ̃ kau-næ̃	боэрсэ гаонэ	большая голь		A:05b-05 大洋花 
麻令坎高難	麻令坎高难	NONE	ma-liŋ-k‘æ̃ kau-næ̃	малинкэ гаонэ	маленькая голь		A:06a-01 小洋花 
失乎木的外	失乎木的外	NONE	sə -xu-məʔ-tiəʔ-vai	сэхумэдивай	шахматовый (ткань в шахматную клетку)		A:06a-01 ʔ棋盤錦 
波羅史外	波罗史外	NONE	pɤ-luɤ-sɿ-vai	болосывай	полосывай (полосатый)		A:06a-01 柳條錦 
各力線的	各力线的	NONE	kə -liə -ɕie-tiə  ʔ ʔ	гэлиседи	клетчатый		A:06a-02 ʔ鵝眉錦 
念兒板高難	念儿板高难	NONE	nie-ər-pæ̃ kau-næ̃	нербэ-гаонэ	нерпа-голь (двуглавая птица [торговая марка])		A:06a-02 雙頭鳥 
迷力命坎	迷力命坎	NONE	mi-liəʔ-miŋ-k‘æ̃	милиминкэ	милиминка (парадный кафтан)		A:06a-02 立蟒 
史的吓迷內干府	史的吓迷内干府	NONE	sɿ-tiəʔ-xa-mi-nuei kæ̃-fu	сыдихаминуй гэфу	сидикаминный канфа (двухцветная золотая канфа)		A:06a-03 貳色金 
巴兒合	巴儿合	NONE	pa-ər-xə	бархэ	бархат		A:06a-03 ʔ立絨 
各拉淂坎反子	各拉淂坎反子	NONE	kəʔ-la-tiəʔ-k‘æ̃ fæ̃-tsɿ	гэладикэ фэцзы	гладкая фанза		A:06a-03 大素紬
束力命坎	束力命坎	NONE	suəʔ -liə -miŋ-k‘æ̃ ʔ	сулиминкэ	сурминка		A:06a-04 九龍粧
七令個外反子	七令个外反子	NONE	ʨ‘iəʔ-liŋ-kɤ-vai fæ̃-tsɿ	цилинговай фэцзы	цилинговый фанза (цилинговая фанза)		A:06a-04 濮院紬
各力被	各力被	NONE	kə -liəʔʔ-pei	гэлибэй	креп		A:06a-04 縐紬
各煉不坎變洛反子	各炼不坎变洛反子	NONE	kə -lie-pəʔʔ-k‘æ̃ pie-luəʔ fæ̃-tsɿ	гэлибэкэ белу фэцзы	крепкая белая фанза		A:06a-05 白縐紬
干犯兒個難	干犯儿个难	NONE	kæ̃-fæ̃-ər-kɤ-næ̃	гэфэр-гонэ	кафар-голь		A:06a-05 金蓮結子花
福料兒	福料儿	NONE	fə -liau-ər ʔ	фэляор	фуляр		A:06a-05 紗
勿善坎反子	勿善坎反子	NONE	və -sæ̃-k‘æ̃-fæ̃-tsɿ ʔ	вэсэкэ-фэцзы	вощанка-фанза		A:06b-01 油串紬
各力彥坎	各力彦坎	NONE	kə -liə -ie-k‘æ̃ ʔ ʔ	гэлиекэ	клеёнка		A:06b-01 油紬
南京史坎少克	南京史坎少克	NONE	næ̃-ʨiŋ-sɿ-k‘æ̃ sau-k‘əʔ	нэцзинсыкэ саокэ	нанцзинский шёлк (шёлк, производимый на юге Китая)		A:06b-01 南衣線
北京史坎少克	北京史坎少克	NONE	piə -ʨiŋ-sɿ-k‘æ̃ ʔ sau-k‘əʔ	бицзинсыкэ саокэ	бэйцзинский шёлк (шёлк, производимый на севере Китая)		A:06b-02 羅城線
迷繞兒	迷绕儿	NONE	mi-zau-ər	мизаор	мишура (позолоченные нити)		A:06b-02 金線
線力之內少克	线力之内少克	NONE	ɕie-liəʔ-tsɿ-nuei sau-k‘əʔ	селицзынуй саокэ	сыришный шёлк (шёлк-сырец)		A:06b-02 生絲
細到	细到	NONE	ɕi-tau	сидао	сито		A:06b-03 羅底
連搭失坎	连搭失坎	NONE	lie-taʔ -sə -k‘æ̃	ледасэкэ	ледашка (завязка на китайском чулке)		A:06b-03 襪便(辮)子
束力命坎	束力命坎	NONE	suəʔ-liəʔ-miŋ-k‘æ̃	сулиминкэ	сурминка (сурьма)		A:06b-03 片金
牛木浪的干木浪子	牛木浪的干木浪子	NONE	niəu-mə -lɐ-tiə kæ̃-məʔ-lɐ-tsɿ	нюмэлади-гэмэлацзы	немлот-камлядза (немлот-камлот)		A:06b-04 羽毛紗
綾子	绫子	NONE	liŋ-tsɿ	линза (ляндза)	линза (ляндза)		A:06b-04 綾子
繭紬	茧䌷	NONE	ʨie-ts‘əu	цзянча	цзянча		A:06b-04 繭紬
波兒善蜜(念)力少內	波儿善蜜(念)力少内	NONE	pɤ-ər-sæ̃ nie-liə sau-nuei	борсэ нелисаонуй	большая нелощёный [китайка]		A:07a-01 加長毛布
麻令坎蜜(念)力少內	麻令坎蜜(念)力少内	NONE	ma-liŋ-k‘æ̃ nie-liəʔ-sau-nuei	малинкэ нелисаонуй	маленькая нелощёный [китайка]		A:07a-01 房毛布
襪善坎	袜善坎	NONE	va -sæ̃-k‘æ̃	васэкэ	вощанка		ʔA:07a-01 加串布
麻令坎襪善	麻令坎袜善	NONE	ma-liŋ-k‘æ̃ va -sæ̃	малинкэ васэ	маленькая воща (маленькая вощанка)		ʔA:07a-02 房串布
爛木史坎	烂木史坎	NONE	læ̃-mə -sɿ-k‘æ̃ ʔ	лэмээсыкэ	лямушка (большая пекинская даба)		A:07a-02 大京布
昔力之內爛木史坎	昔力之内烂木史坎	NONE	ɕiə -liəʔʔ-tsɿ-nuei læ̃-məʔ-sɿ-k‘æ̃	силицзынуй лэмэсыкэ	серединный лямушка (средняя пекинская даба)		A:07a-02 中京布
居艮外爛木史坎	居艮外烂木史坎	NONE	ʨy-niŋ-vai læ̃-məʔ-sɿ-k‘æ̃	цзюйнинвай лэмэсыкэ	тюневый лямушка (малая пекинская даба)		A:07a-03 小京布 
大上海	大上海	NONE	ta sɐ̃-xai	да сахай	да шанхай		A:07a-03 大上海 仝
 波兒地什	 波儿地什	NONE	pɤ-ər-ti-sə	бордисэ	портище		A:07a-03 ʔ九寸布
謝藍	谢蓝	NONE	ɕie-læ̃	селэ	шило		A:07a-04 閃花梭 
 麻念兒坎大布	 麻念儿坎大布	NONE	ma-nie-ər-k‘æ̃-ta-pu	манеркэ-дабу	манерка-даба (узорчатая даба)		A:07a-04 洋花布
叉木叉	叉木叉	NONE	ts‘a-məʔ-ts‘a	цамэца	чамча (набивной ситец)		A:07a-04 印花布 
五路不坎	五路不坎	NONE	u-ləu-pə -k‘æ̃	улоубэкэ	урубка (урубок)		A:07a-05 ʔ永春布 
居艮外變洛大布	居艮外变洛大布	NONE	ʨy-niŋ-vai pie-luəʔ ta-pu	цзюйнинвай белу дабу	тюневая белая даба		A:07a-05 羢花布 
 波羅少克	 波罗少克	NONE	pɤ-luɤ-sau-k‘əʔ	болосаокэ	полушёлк		A:07a-05 綾機布
史大面子	史大面子	NONE	sɿ-ta-mie-tsɿ	сыдамецзы	стамед		A:07b-01 斜文布 
票史的兒大布	票史的儿大布	NONE	p‘iau-sɿ-tiə -ər ta-pu	пяосыдир дабу	пёстер даба (пёстрая даба)		A:07b-01 手巾布
各利失坎大布	各利失坎大布	NONE	kə -li-sə -k‘æ̃-ta- ʔpu	гэлисэкэ-дабу	крышка-даба (брезент)		A:07b-01 ʔ苫布 
不勿兒地大布	不勿儿地大布	NONE	pəʔ-vəʔ-ər-ti-ta-pu	бэвэрди-дабу	поверти-даба (даба в свертках)		A:07b-02 纒皮布 
號史坎	号史坎	NONE	xau-sɿ-k‘æ̃	хаосыкэ	хошка (белая бухарская даба)		A:07b-02 白回子布 
七順坎	七顺坎	NONE	ʨ‘iəʔ-suŋ-k‘æ̃	цисункэ	чешуйка		A:07b-02 花兒回子布 
ʔ的令串 	ʔ的令串 	NONE	tiə -liŋ-ts‘uæ̃	дилинцуэ	тилинчуй (разновидность шерстяной ткани)		A:07b-03 毼子布
桃兒個外大布 	桃儿个外大布 	NONE	t‘au-ər-kɤ-vai ta-pu	таорговай дабу	торговый даба (торговая даба)		A:07b-03 夏布
清克力 	清克力 	NONE	ʨ‘iŋ-k‘əʔ-liəʔ	цинкэли	цинкли (чалдар)		A:07b-03 葛布
北京史坎大布	北京史坎大布	NONE	piəʔ-ʨiŋ-sɿ-k‘æ̃ ta-pu	бицзинсыкэ дабу	бэйцзинская даба (пекинская даба)		A:07b-04 老龍翠
波兒善大布 	波儿善大布 	NONE	pɤ-ər-sæ̃ ta-pu	порсэ дабу	большая даба		A:07b-04 大平機
麻令坎大布 	麻令坎大布 	NONE	ma-liŋ-k‘æ̃ ta-pu	малинкэ дабу	маленькая даба		A:07b-04 小平機
紬甲子 	䌷甲子 	NONE	ts‘əu-ʨiaʔ-tsɿ	цоуцзяцзы	чуцзядза (разновидность чесучи)		A:07b-05 條條錦布
泥的坎 	泥的坎 	NONE	ni-tiəʔ-k‘æ̃	нидикэ	нитка		A:07b-05 裙料線
合勞不叉賁垻坎 	合劳不叉贲垻坎 	NONE	xə -lau-pəʔ-ts‘a- ʔpəŋ-pa-k‘æ̃	хэлаобэца-бэнбакэ	хлопча-бумага (хлопок)		A:07b-05 棉花
白各 	白各 	NONE	pai-kəʔ	байгэ	байка [ткань]		A:08a-01 織絨
吔力史個伏 	吔力史个伏 	NONE	ie-liə -sɿ-kɤ-fə  ʔ	елисыгофэ	резковь (разновидность мягкой ткани)		A:08a-01 ʔ張絨
料內	料内	NONE	liau-nuei	ляонуй	лёный (лён)		A:08a-01 主蔴線
地克	地克	NONE	ti-k‘ə  ʔ	дикэ	тик [ткань]		A:08a-02 雨過天晴回回布
勿浪艮	勿浪艮	NONE	və -lɐ-kəŋ ʔ	вэлагэн	воронка		A:08a-02 憑針
珠藍茶	珠蓝茶	NONE	tsu-læ̃ ts‘a	цзулэца	жулан-чай		A:08a-04 珠藍茶
白毫茶	白毫茶	NONE	pai-xau ts‘a	байхао-ца	байховый чай		A:08a-04 白毫茶
甲料內茶	甲料内茶	NONE	ʨiaʔ-liau-nuei ts‘a	цзяляонуй ца	зелёный чай		A:08a-04 靑茶
俏兒內茶	俏儿内茶	NONE	ʨ‘iau-ər-nuei ts‘a	цяорнуй ца	чёрный чай		A:08a-05 武尋茶
繞達才	绕达才	NONE	zau-ta  ts‘ai	заода цай	жёлтый чай		A:08a-05 ʔ黃茶
各兒被史茶	各儿被史茶	NONE	kəʔ-ər-pei-sɿ-ts‘a	гэрбэйсы-ца	кирпич-чай (кирпичный чай)		A:08a-05 磚茶
波兒獨藝茶	波儿独艺茶	NONE	pɤ-ər-duəʔ-i-ts‘a	бордуи-ца	пуржуй-чай		A:08b-01 帽盒茶
牙失坎茶	牙失坎茶	NONE	ia-sə -k‘æ̃ ts‘a	ясэкэ-ца	ящик-чай (ящичный чай)		A:08b-01 ʔ箱子茶
ʔ半克茶	ʔ半克茶	NONE	pæ̃-k‘ə  ts‘a	бэкэ-ца	банка-чай (баночный чай)		A:08b-01 瓶子茶
納史不外茶/桃兒個外茶	纳史不外茶/桃儿个外茶	NONE	na -sɿ-pə -vai ts‘a / t‘au-ər-kɤ-vai ts‘a	насыбэвай ца / таорговай ца	насыповый чай / торговый чай (байховый чай)		A:08b-02 斗箱茶
各杜什坎茶	各杜什坎茶	NONE	kəʔ-tu-səʔ-k‘æ̃ ts‘a	гэдусэкэ-ца	кадушка-чай (кадушечный чай)		A:08b-02 桶子茶
各泥各才	各泥各才	NONE	kə -ni-kə  ts‘ai ʔ	гэнигэ-цай	книга-чай (коробочный чай)		A:08b-02 書匣茶
工失才	工失才	NONE	kuŋ-səʔ ts‘ai	гунсэ-цай	гунши-чай (чай из большого ящика)		A:08b-03 大櫃茶
不無的內才	不无的内才	NONE	pəʔ-u-tiəʔ-nuei ts‘ai	бэудинуй цай	полуторный чай		A:08b-03 長箱茶
