hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
臥昔利內定	卧昔利内定	NONE	vɤ-ɕiəʔ-li-nuei tiŋ	Восилинуй дин	Васильный день (новый год, день св. Василия)		B:13b-01 過年
狄不浪	狄不浪	NONE	tiəʔ-pəʔ-lɐ	дибэла	тёплый		B:13b-01 煖拉
吳則吓兒內	吴则吓儿内	NONE	u tsəʔ-xa-ər-nuei	у Цзэхарнуй	у Захарный (праздник середины осени, день св. Захария [5 (18) сентября])		B:13b-01 開天疋地 
把斯磨錄內	把斯磨录内	NONE	pa-sɿ-mɤ-luəʔ-nuei	басымолунуй	пасмурный		B:13b-02 下雪陰天 
史罷史定	史罢史定	NONE	sɿ-pa-sɿ tiŋ	Сыбасы-дин	Спас-день		B:13b-02 出水的日子 
棒史內定	棒史内定	NONE	pɐ̃-sɿ-nuei tiŋ	басынуй дин	постный день		B:13b-02 把齋 
不利沙的	不利沙的	NONE	pə -li-sa-tiəʔʔ	бэлисади	палисад (городская стена)		B:13b-04 城 
乃麻池	乃麻池	NONE	nai-ma-ts‘ɿ	наймацы	наймачи (огороженное место)		B:13b-04 圈子 
古迷兒內	古迷儿内	NONE	ku-mi-ər-nuei	гумирнуй	кумирня (одно произношение) (храм)		B:13b-04 廟 二音之 
坎(次)力個伏	坎(次)力个伏	NONE	ts‘ɿ-liəʔ-kɤ-fəʔ	цылигофэ	церковь (другое		B:13b-04 廟 二音之 
吔力各地兒	吔力各地儿	NONE	ie-liə -kə -ti-ər ʔ ʔ	елигэдир	ректор (канцелярия)		B:13b-04 閣兒
各門地兒	各门地儿	NONE	kə -məŋ-ti-ər ʔ	гэмэндир	командир (одно произношение) (управа)		B:13b-04 衙門
哦伏次力	哦伏次力	NONE	γɤ-fə -ts‘ɿ-liə  ʔ	офэцыли	офицер (другое произношение) (управа)		B:13b-04 衙門
未而內吳里子	未而内吴里子	NONE	vei-ər-nuei u-li-tsɿ	вэйрнуй улицзы	верный улица (восточная улица, верхняя улица)		B:13b-04 東街
昔利艮吳里子	昔利艮吴里子	NONE	ɕiə -li-niŋ u-li-tsɿ ʔ	силинин-улицзы	середин-улица (средняя улица)		B:13b-05 中街
泥而內吳里子	泥而内吴里子	NONE	ni-ər-nuei u-li-tsɿ	нирнуй улицзы	нижний улица (западная улица)		B:13b-05 西街
别力合料伏坎	别力合料伏坎	NONE	piəʔ-liəʔ -xə -liau-fəʔ-k‘æ̃	билихэляофэкэ	перекрёвка (поперечная улица)		B:13b-05 橫街
洛伏坎	洛伏坎	NONE	luəʔ-fəʔ-k‘æ̃	луфэкэ	лавка [торговая]		B:13b-05 舖子
欠力個伏	欠力个伏	NONE	ʨ‘ie-liəʔ-kɤ-fəʔ	целигофэ	церковь (башня, одно произношение)		B:13b-05 塔 二音之
把什年	把什年	NONE	pa-sə -nie ʔ	басэне	башня (другое произношение)		B:13b-05 塔 二音之
哦各信旺兒	哦各信旺儿	NONE	γɤ-kəʔ-ɕiŋ vɐ-ər	огэсин вар	гостин[ый] двор		B:13b-06 四合樓
則不利沙的	则不利沙的	NONE	tsə  pə -li-sa-tiəʔ ʔ ʔ	цзэ бэлисади	за палисадом (за северными воротами)		B:13b-06 北門外
則利池什內勿羅代	则利池什内勿罗代	NONE	tsə -li-ts‘ɿ-sə -nuei və -luɤ-tai	цзэлицысэнуй вэлодай	заречишный ворота (за западными воротами)		B:13b-06 西門外
則利什坎	则利什坎	NONE	tsə  li-səʔ-k‘æ̃ ʔ	цзэ лисэкэ	за речкой (к западу от реки)		B:13b-06 西河道
凍史坎	冻史坎	NONE	tuŋ-sɿ-k‘æ̃	дунсыкэ	доска (восточный мост)		B:13b-06 東梁上
乃罵史	乃骂史	NONE	nai-ma-sɿ	наймасы	наймас (за южными воротами)		B:13b-07 南門外
波定內	波定内	NONE	pɤ-tiŋ-nuei	бодиннуй	подённый (караульное помещение за поселением)		B:13b-07 後營子
唵把兒	唵把儿	NONE	γæ̃-pa-ər	анбар	амбар (одно произношение) (постройка)		B:13b-07 房子 三音
個林子	个林子	NONE	kɤ-liŋ-tsɿ	голинцзы	горница (другое произношение) (постройка)		B:13b-07 房子 三音
個浪泥子	个浪泥子	NONE	kɤ-lɐ-ni-tsɿ	голаницзы	горница (третье произношение) (постройка)		B:13b-07 房子 三音
勿羅代	勿罗代	NONE	və -luɤ-tai ʔ	вэлодай	ворота		B:13b-07 大門
波淂浪坎	波淂浪坎	NONE	pɤ-tiə -lɐ-k‘æ̃ ʔ	бодилакэ	потолок		B:13b-07 房頂子
到馬	到马	NONE	tau-ma	даома	дома (в доме)		B:13b-08 家裡
以之罷	以之罢	NONE	i-tsɿ-pa	ицзыба	изба (склад)		B:13b-08 貨房
未史罷	未史罢	NONE	vei-sɿ-pa	вэйсыба	в изба (кухня)		B:13b-08 廚房
納的旺兒	纳的旺儿	NONE	naʔ tiəʔ-vɐ-ər	на дивар	на двор (во дворе)		B:13b-08 院力(裏)
力吓	力吓	NONE	liə -xa ʔ	лиха	река		B:13b-08 河
納不羅地伏	纳不罗地伏	NONE	na -pəʔ-luɤ-ti-fəʔ ʔ	набэлодифэ	напротив		B:13b-08 對門子
束線的	束线的	NONE	suəʔ-ɕie-tiəʔ	суседи	сосед		B:13b-09 隔壁
細家	细家	NONE	ɕi-ʨia	сицзя	стена		B:13b-09 牆壁
磨林	磨林	NONE	mɤ-liŋ	молин	море		B:13b-09 海
昔力個	昔力个	NONE	ɕiəʔ-liəʔ-kɤ	Силиго	Селенга (река)		B:13b-09 江
則廟兒史大(了)	则庙儿史大(了)	NONE	tsəʔ-miau-ər-sɿ-laʔ	цзэмяорсыла	замёрзла (замёрзнуть)		B:13b-09 凍拉
哦羅史逹由	哦罗史逹由	NONE	γɤ-luɤ-sɿ-taʔ-iəu	олосыдаю	растаять		B:13b-09 消下了
磨林史大泥	磨林史大泥	NONE	mɤ-liŋ sɿ-ta-ni	молин сыдани	море стало (море замёрзло)		B:13b-09 凍了海
牧蓋的	牧盖的	NONE	mu-kai-tiə  ʔ	мугайди	мукать (сильный поток реки)		B:14a-01 河流淋
日貴的	日贵的	NONE	zəʔ-kuei-tiəʔ	зэгуйди	жгут (морское течение)		B:14a-01 海流淋
料達	料达	NONE	liau-taʔ	ляода	лёд		B:14a-01 氷
各勞地念子	各劳地念子	NONE	kə -lau-ti-nie-tsɿ ʔ	гэлаодинецзы	колодец		B:14a-01 井
面的坎勿達	面的坎勿达	NONE	mie-tiəʔ -k‘æ̃ və -ta  ʔ	медикэ вэда	меткая вода (холодная вода)		B:14a-01 浪水
昔未的勿達	昔未的勿达	NONE	ɕiə -vei-tiəʔ vəʔ-taʔ ʔ	сивэйди вэда	светлая вода (чистая вода)		B:14a-02 清水
莫的內勿達	莫的内勿达	NONE	mə -tiəʔ-nuei vəʔ-taʔ ʔ	мэдинуй вэда	мутная вода		B:14a-02 混水
吓迷	吓迷	NONE	xa-mi	хами	камень		B:14a-02 石頭
必稍什	必稍什	NONE	piəʔ-sau-səʔ	бисаосэ	песош (песок)		B:14a-02 沙子
稍什	稍什	NONE	sau-səʔ	саосэ	сош (одно произношение) (земля)		B:14a-02 土 三音之
稍必	稍必	NONE	sau-piə  ʔ	саоби	щебень (другое произношение) (земля)		B:14a-02 土 三音之
貼洛	贴洛	NONE	t‘iə -luə  ʔ ʔ	тилу	тело (?) (третье произношение) (земля)		B:14a-02 土 三音之
以之未細坎	以之未细坎	NONE	i-tsɿ-vei-ɕi-k‘æ̃	ицзывэйсикэ	извёстка		B:14a-03 石灰
棒各煉	棒各炼	NONE	pɐ̃-kəʔ-lie	багэле	погреб		B:14a-03 窨子 
哦各浪池	哦各浪池	NONE	γɤ-kə -lɐ-ts‘ɿ ʔ	огэлацы	огород		B:14a-03 園子 
各兩地	各两地	NONE	kə -liɐ-ti ʔ	гэляди	гряды		B:14a-03 畦子 
各桃(柳)池	各桃(柳)池	NONE	kəʔ-t‘au-[liəu-]ts‘ɿ	гэлюцы	ключ (родник)		B:14a-03 泉子 
得洛地兒坎	得洛地儿坎	NONE	tiəʔ-luəʔ-ti-ər-k‘æ̃	дилудиркэ	трактирка (трактир)		B:14a-03 飯館子 
納道力個	纳道力个	NONE	na  tau-liə -kɤ ʔ ʔ	на даолиго	на дороге (дорога)		B:14a-04 路兒 
達奔內	达奔内	NONE	taʔ-pəŋ-nuei	дабэнуй	табный (одно произношение) (склад)		B:14a-04 廠力 二音 
史各肚	史各肚	NONE	sɿ-kəʔ-tu	сыгэду	скду (другое произношение) (склад)		B:14a-04 廠力 二音 
個(佃)力凹	个(佃)力凹	NONE	t‘ie-liə -va ʔ	телива	трава		B:14a-04 靑草 
謝納	谢纳	NONE	ɕie-naʔ	сина	сено		B:14a-04 黃草 
蘭吓而的	兰吓而的	NONE	læ̃-xa-ər-tiəʔ	лэхарди	ландкарта (одно произношение) (географическая карта)		B:14a-04 地理圖 三 
吓而的	吓而的	NONE	xa-ər-tiəʔ	харди	карта (другое произношение) (географическая карта)		B:14a-04 地理圖 三 
善而	善而	NONE	sæ̃-ər	сэр	шар (третье произношение) (географическая карта)		B:14a-04 地理圖 三 
哈幾牙史坎	哈几牙史坎	NONE	xa-ʨi-ia-sɿ-k‘æ̃	хацзиясыкэ	хозяшка (Цинское государство, Китай)		B:14a-04 大靑(清)國 
昔令干史坎	昔令干史坎	NONE	ɕiə -liŋ-kæ̃-sɿ-k‘æ̃ ʔ	Силингэсыкэ	Селенгашка (река Селенга)		B:14a-05 昔令河 
哈幾牙史坎/各束個	哈几牙史坎/各束个	NONE	xa-ʨi-ia-sɿ-k‘æ̃ /kəʔ -suəʔ-kɤ	хацзиясыкэ / Гэсуго	хозяшка / Ксокор (Хайлар)		B:14a-05 合勞而上 
望吉兒 	望吉儿 	NONE	vɐ̃-ʨiəʔ-ər	Вацзир	Вацзир (Ваджра?)		B:14a-05 魚撓而上 
吾兒吓 	吾儿吓 	NONE	u-ər-xa	Урха	Урга (Кулунь)		B:14a-05 庫倫上 
牙而史坎	牙而史坎	NONE	 ia-ər-sɿ-k‘æ̃	Ярсыкэ	Ярска (в западной крепости, в Красноярске)		B:14a-06 西營力(裏) 
凹日年 	凹日年 	NONE	va-zə -nie ʔ	вазэне	важиня (овраг)		B:14a-06 山溝子 
必力蓋 	必力盖 	NONE	piəʔ-liəʔ-kai	билигай	берег/берега		B:14a-06 河邊子 
順子書定(害) 	顺子书定(害) 	NONE	suŋ-tsɿ-su-tiŋ (xai)	сунцзы-сухай	солнце-сухой (место, освещенное солнцем)		B:14a-06 陽地方 
斯佃泥 	斯佃泥 	NONE	sɿ t‘ie-ni	сы тени	с тени (место в тени)		B:14a-06 陰地方 
各料西內 	各料西内 	NONE	kə -liau-ɕi-nuei ʔ	гэляосинуй	грязный		B:14a-07 泥力 
煙謾	烟谩	NONE	ie-mæ̃	емэ	яма		B:14a-07 地 
不浪的	不浪的	NONE	pəʔ-lɐ-tiəʔ	бэлади	брод		B:14a-07 渡口 
勿達哦羅史利拉史	勿达哦罗史利拉史	NONE	və -ta  γɤ-luɤ-sɿ-li- ʔla-sɿ	вэда олосылиласы	вода разлилась (половодье)		B:14a-07 ʔ發山水 
吔力問各迷西	吔力问各迷西	NONE	ie-liəʔ-vəŋ-kəʔ-mi-ɕi	еливэн-гэмиси	ревень-комисси[я] (ревенная комиссия)		B:14a-07 大黃城 
各拉道	各拉道	NONE	kə -la-tau ʔ	гэладао	клад (собачья конура)		B:14a-08 狗窩 
不路的	不路的	NONE	pə -ləu-tiə  ʔ ʔ	бэлоуди	плот (плотина)		B:14a-08 水門 
各兒克	各儿克	NONE	kə -ər-k‘əʔ ʔ	гэркэ	горькая (винная лавка)		B:14a-08 酒舖 
各則力罵	各则力骂	NONE	kə -tsəʔ-liəʔ-ma ʔ	гэцзэлима	казарма (одно произношение) (постоялый двор)		B:14a-08 店 二音之 
幾毛壓	几毛压	NONE	ʨi-mau-ia  ʔ	цзымаоя	зимовье (другое произношение) (постоялый двор)		B:14a-08 店 二音之 
哦不浪坎	哦不浪坎	NONE	γɤ-pə -lɐ-k‘æ̃ ʔ	обэлакэ	облака (одно произношение) (за оградой)		B:14a-08 柵子外 二 
勿哥的	勿哥的	NONE	vəʔ -kɤ-tiə  ʔ	вэгоди	в ограде (другое произношение) (за оградой)		B:14a-08 柵子外 二 
麻史堂	麻史堂	NONE	ma-sɿ-t‘ɐ	масыта	мост		B:14a-08 橋 
入煉	入炼	NONE	zuəʔ-lie	зуле	земля (карта вселенной)		B:14a-09 太極圖 
煉西泥子	炼西泥子	NONE	lie-ɕi-ni-tsɿ	лесиницзы	лестница		B:14a-09 樓胡梯 
史旺的	史旺的	NONE	sɿ-vɐ-tiəʔ	сывади	сват (гончарная печь)		B:14a-09 石頭窯兒 
日洛念獨	日洛念独	NONE	zə -luə  nie-tuə  ʔ ʔ ʔ	зэлу нету	жило нету (никто не живет)		B:14a-09 莫人煙 
敢本浪勿	敢本浪勿	NONE	kæ̃-pəŋ-lɐ̃-və  ʔ	гэбэнлавэ	капрал (мелкий чин)		B:14a-09 小官兒 
不地牙池	不地牙池	NONE	pəʔ-ti-ia-ts‘ɿ	бэдияцы	подьячий (мелкий письмоводитель)		B:14b-01 官書吏  
吾數旦兒	吾数旦儿	NONE	u-su-tæ̃-ər	усудэр	государь		B:14b-03 朝廷  
不洛吓地兒	不洛吓地儿	NONE	pə -luəʔ-xa-ti-ər ʔ	бэлухадир	бригадир (маршал)		B:14b-03 元帥  
不羅羅克	不罗罗克	NONE	pə -luɤ-luɤ-k‘ə  ʔ	ʔбэлолокэ	пророк (наставник)		B:14b-03 軍師  
英納那兒	英纳那儿	NONE	iŋ-naʔ-na-ər	иннанар	инанар (генерал)		B:14b-03 將軍  
什大史克	什大史克	NONE	sə -ta-sɿ-k‘ə  ʔ ʔ	сэдасыкэ	статский (сановник)		B:14b-03 欽差  
波而迷什	波而迷什	NONE	pɤ-ər-mi-səʔ	бормисэ	бурмистр (налоговый чиновник)		B:14b-04 稅司  
哦史波定	哦史波定	NONE	γɤ-sɿ-pɤ-tiŋ	осыбодин	господин (начальник)		B:14b-04 官府  
哈迷三而	哈迷三而	NONE	xa-mi-sæ̃-ər	хамисэр	комиссар (старшина)		B:14b-04 頭目  
書淂牙	书淂牙	NONE	su-tiəʔ-ia	судия	судья		B:14b-04 文官  
馬樣而	马样而	NONE	ma-iɐ-ər	маяр	майор		B:14b-04 督司  
補路池	补路池	NONE	pu-ləu-ts‘ɿ	булоуцы	поручи[к] (поручик)		B:14b-04 千總  
不力旺池坎	不力旺池坎	NONE	pəʔ-liəʔ-vɐ-ts‘ɿ-k‘æ̃	бэливацыкэ	переводчик (одно произношение)		B:14b-05 通師(事)  
腿而罵其	腿而骂其	NONE	t‘uei-ər-ma-ʨ‘i	туйрмаци	толмач (другое произношение)		B:14b-05 通師(事)  
獨力貢	独力贡	NONE	tuəʔ-liəʔ-kuŋ	дулигун	драгун		B:14b-05 馬兵  
必賀的	必贺的	NONE	piə -xɤ-tiə  ʔ ʔ	биходи	пехота (пехотинец)		B:14b-05 步兵  
三達子	三达子	NONE	sæ̃-taʔ-tsɿ	сэдацзы	солдат		B:14b-05 兵丁  
史大而史大	史大而史大	NONE	sɿ-ta-ər-sɿ-ta	сыдарсыда	староста [деревенский]		B:14b-05 鄉約  
進木史坎	进木史坎	NONE	ʨiŋ-mə -sɿ-k‘æ̃ ʔ	цзинмэсыкэ	зимушка (место)		B:14b-05 地方  
各扎坎	各扎坎	NONE	kə -tsa -k‘æ̃ ʔ ʔ	гэцзакэ	казак (одно произношение) (пограничный)		B:14b-06 巡邊的  
合色	合色	NONE	xə -səʔ ʔ	хэсэ	казак другое произношение) (пограничный)		B:14b-06 巡邊的  
棒合	棒合	NONE	pɐ̃-xə  ʔ	бахэ	Бог		B:14b-06 神聖  
非龍捎伏	非龙捎伏	NONE	fei-luŋ-sau-fəʔ	фэйлунсаофэ	философ (святой)		B:14b-06 神仙  
習納多而	习纳多而	NONE	ɕiə -na -tuɤ-ər ʔ ʔ	синадор	сенатор (придворный)		B:14b-06 朝臣  
干史煉力	干史炼力	NONE	kæ̃-sɿ-lie-liəʔ	гэсылели	канцлер		B:14b-06 文相  
各洛不利	各洛不利	NONE	kə -luə -pə -li ʔ ʔ ʔ	гэлубэли	корабли (одно произношение) (военный)		B:14b-06 武相 二音  
亞迷洛力	亚迷洛力	NONE	ia-mi-luəʔ-liəʔ	ямилули	адмирал (другое произношение) (военный)		B:14b-06武相 二音  
色旺什	色旺什	NONE	sə -vɐ-̃sə  ʔ ʔ	сэвасэ	свят (Нефритовый император)		B:14b-07 玉帝  
哦各佃明牙悞坎	哦各佃明牙悞坎	NONE	γɤ-kə -t‘ie-miŋ-ia u-k‘æ̃	огэтеминъя укэ	академия наук (ведомство по астрономии и календарю)		B:14b-07 欽天鑑  
樹的	树的	NONE	su-tiə  ʔ	суди	судьи (большие и малые чиновники)		B:14b-07 大小官員  
合力史道史	合力史道史	NONE	xə -liə -sɿ-tau-sɿ ʔ ʔ	Хэлисыдаосы	Христос (святой)		B:14b-07 神公報  
密各賴	密各赖	NONE	miə -kə -lai ʔ ʔ	Мигэлай	Миколай, св. Николай (просвещенный владыка)		B:14b-08 文太史  
各力求合	各力求合	NONE	kəʔ -liə -ʨ‘iəu-xəʔʔ	гэлицюхэ	гелицюх (гелюнг, ламаистский иерарх)		B:14b-08 活弗  
地下泥各	地下泥各	NONE	ti-ɕia-ni-kəʔ	дисянигэ	десятник (старшина)		B:14b-08 甲首  
不羅慶哆而哦史淂浪非嫝迷	不罗庆哆而哦史淂浪非嫝迷	NONE	pə -luɤ-ʨ‘iŋ-tuɤ-ər γɤ-sɿ-tiə -lɐ-fei-k‘ɐ-mi	бэлоциндор осыдилафэйками	прочитал астрологами (астролог)		B:14b-08 觀天文人  
昧史的煉古不此	昧史的炼古不此	NONE	mei-sɿ-tiə -lie ku-pə -ts‘ɿ	мэйсыдиле губэцы	местный купец (купец, ведущий санкционированную торговлю)		B:14b-09 應官商的買 
力干史坎	力干史坎	NONE	liə -kæ̃-sɿ-k‘æ̃ ʔ	лигэсыкэ	лигашка (свой человек)		B:14b-09 裡頭人 
吔的古不世克	吔的古不世克	NONE	ie-tiəʔ-ku-pəʔ-sɿ-k‘əʔ	едигубэсыкэ	перекупский (одно произношение) (купец)		B:14b-09 商人 二音 
干幫泥坎	干帮泥坎	NONE	kæ̃-pɐ-ni-k‘æ̃	гэбаникэ	компанник (другое произношение) (купец)		B:14b-09 商人 二音 
補吓子	补吓子	NONE	pu-xa-tsɿ	бухацзы	богадза (богач)		B:14b-09 有錢人 
樣兒哥	样儿哥	NONE	iɐ̃-ər-kɤ	ярго	ёрга (одно произношение) (бедняк)		B:15a-01 莫錢人 二 
變的內	变的内	NONE	pie-tiə -nuei ʔ	бединуй	бедный (другое прошение) (бедняк)		B:15a-01 莫錢人 二 
補花史坎	补花史坎	NONE	pu-xua-sɿ-k‘æ̃	бухуасыкэ	бухарский (красношапочник)		B:15a-01 紅帽子 
滿官而史坎	满官而史坎	NONE	mæ̃-kuæ̃-ər-sɿ-k‘æ̃	мэгуэрсыкэ	монгольский (монгол)		B:15a-01 達子 
不兩史坎	不两史坎	NONE	pə -liɐ-sɿ-k‘æ̃ ʔ	бэлясыкэ	братский (бурят)		B:15a-01 回回家達子 
念兒史坎	念儿史坎	NONE	nie-ər-sɿ-k‘æ̃	нерсыкэ	нерский, нерчинский (европеец)		B:15a-02 西洋人 
滿洲兒史坎	满洲儿史坎	NONE	mæ̃-tsəu-ər-sɿ-k‘æ̃	мэцзоурсыкэ	маньчжурский (знамённый)		B:15a-02 旗人 
何家言	何家言	NONE	xɤ-ʨia-ie	хоцзяе	хозяин (владелец имущества)		B:15a-02 財主 
何家言	何家言	NONE	xɤ-ʨia-ie	хоцзяе	хозяин (глава семьи)		B:15a-02 當家的 
獨凹兒利什	独凹儿利什	NONE	tuə -va-ər-li-sə  ʔ ʔ	дуварлисэ	товарищ (компаньон)		B:15a-02 夥 
狄力萬泥各	狄力万泥各	NONE	tiə -liə -væ̃-ni-kə  ʔ ʔ	диливэнигэ	деревянник (плотник)		B:15a-03 木匠 
不洛吓什	不洛吓什	NONE	pəʔ-luəʔ-xa-səʔ	бэлухасэ	прикаш (приказчик)		B:15a-03 掌櫃的 
