word	pinyin_final	origin	lang	problematic	rus_transcription	stressed_syl	tone
采鲁里(舞)	cǎilǔlǐ(wǔ)	церули	грузинский		цырУл’ь	lǔ	3
查奴里(琴)	chánúlǐ(qín)	чванури	грузинский		ч’ванУр’ь	nú	2
禅格(琴)	chángé(qín)	ченг			ч’Энк	chán	2
昌吉(琴)	chāngjí(qín)	чанги	грузинский		ч’Анг’ь	chāng	1
昌科布兹(琴)	chāngkēbùzī(qín)	чанг-кобуз			ч’Анк-кабУс	chāng_bù	1_4
赤特维里克	chìtèwéilǐkè	четверик			ч’ьтвир’Ик	lǐ	3
楚赤贺拉	chǔchìhèlā	чурчхела			ч’урч’х’Элъ	hè	4
楚尼利(琴)	chǔnílǐ(qín)	чунири			ч’ун’Ир’ь	ní	2
达克斯(狗)	dákèsī(gǒu)	такса( собака)			тАксъ	dá	2
达那猛	dánàměng	динамон			д’ьнамОн	měng	3
达恰	dáqià	дача			дАч’ь	dá	2
德荷林	déhélín	дехолин			д’ьхал’Ин	lín	2
德拉德达姆(呢)	délādédámǔ(ní)	драдедам	французский		дръдыдАм	dá	2
德纳立脱(炸药)	dénàlìtuō(zhàyào)	донарит			дънар’Ит	lì	4
狄纳磨	dínàmó	динамо			д’инАмъ	nà	4
斗淋	dòulín	долина	через англ		дал’Инъ	lín	2
杜阿登诺尔(布)	dù'ādēngnuò'ěr(bù)	туальденор			туАл’дынОр	nuò	4
杜洛克	dùluòkè	дурак( игра)			дурАк	luò	4
杜马	dùmǎ	дума			дУмъ	dù	4
杜塔尔	dùtǎ'ěr	дутар			дутАр	tǎ	3
杜瓦里希	dùwǎlǐxī	товарищ	托瓦里什 tuo1wa3li3she	tuo1wa3li3she	тавАр’ьш’	wǎ	3
敦客	dūnkè	думка	через англ		дУмкъ	dūn	1
多木拉	duōmùlā	домра			дОмръ	duō	1
多依那	duōyīnà	дойна	румынское		дОй’нъ	duō	1
法奥利特	fǎ'àolìtè	фаолит			фаол’Ит	lì	4
方特	fāngtè	фант	немецкий		фАнт	fāng	1
非那丁	fēinàdīng	фенатин			ф’ьнат’Ин	dīng	1
费兰德(兔)	fèilándé(tù)	фландр			флАндр	lán	2
分特	fēntè	фунт	немецкий		фУнт	fēn	1
芬卡(帽)	fēnkǎ(mào)	финка( шапка)	немецкий		ф’Инкъ	fēn	1
佛克律斯(泉)	fókèlǜsī(quàn)	воклюзы	французский		вакл’Узъ	lǜ	4
弗尔兰纳(舞)	fú'ěrlánnà(wǔ)	форлана			фарлАнъ	lán	2
 弗列克萨顿	fúlièkèsàdùn	флексатон			фл’ьксатОн	dùn	4
伏阿普	fú'āpǔ	ВОАПП			воАп	ā	1
伏尔泰(椅)	fú'ěrtài(yǐ)	вольтер(овское кресло)			вал’тЭр	tài	4
伏特加	fútějiā	водка	伏特卡 俄得克		вОткъ	fú	2
福尔什马克	fú'ěrshímǎkè	форшмак			фаршмАк	mǎ	3
盖克塞纳	gàikèsàinà	гексенал			г’ькс’инАл	nà	4
盖怕龙	gàipàlóng	гепалон			г’ьпалОн	lóng	2
高士泼林	gāoshìpōlín	госплан			госплАн	lín	2
戈比	gēbǐ	копейка	哥比		кап’Эiкъ	bǐ	3
戈斯帕京	gēsīpàjīng	господин			гъспад’Ин	jīng	1
哥巴克(舞)	gēbākè(wǔ)	гопак			гапАк	bā	1
哥洛梅卡(舞)	gēluòméikǎ(wǔ)	коломыйка			къламЫiкъ	méi	2
格别乌	gébiéwū	ГПУ			гэпэУ	wū	1
格兰尼托皮	gélánnítuōpí	гранитоль			грън’итОл’	tuō	1
格林斯本	gélínsǐběn	гринсбон			гр’инзбОн	běn	3
格鲁乌	gélǔwū	ГРУ			грУ	wū	1
格罗什	géluóshí	грош			грОш	luó	2
格丝里	gésīlǐ	гесль			г’Эсл’	gé	2
给亚克(琴)	gěiyǎkè(qín)	кыяк			кый’Ак	yǎ	3
古楚尔(舞)	gǔchǔ'ěr(wǔ)	гуцулка			гуцУлкъ	chǔ	3
古丝理	gǔsīlǐ	гусли			гУсл’ь	gǔ	3
哈拉嗦	hālāsuó	хорошо			хърашО	suó	2
哈拉(呢)	hālā(nǐ)	халат			халАт	lā	1
哈勒瓦	hālèwǎ	халва	哈尔娃		халвА	wǎ	3
哈麦新风	hāmàixīn(fēng)	хамсин			хамс’Ин	xīn	1
哈契奇(板)	hāqìqī(bǎn)	пхачич	адыгский		пхач’Ич’	qì	4
赫罗拉契	hèluólāqì	хлоратит			хлърат’Ит	qì	4
赫罗姆卡	hèluómǔkǎ	хромка			хрОмкъ	luó	2
赫洛福斯	hèluòfúsī	хлорофос			хлърафОс	fú	2
黑列巴	hēilièbā	хлеб			хл’Эп	liè	4
呼多	hūduō	фут	англ		фУт	hū	1
呼特巴	hūtèbā	хутба			хУдба	hū	1
霍尔特(狗)	huǒ'ěrtè(gǒu)	хорт			хОрт	huǒ	3
霍拉(舞)	huòlā(wǔ)	хора			хОръ	huò	4
霍罗(舞)	huòluó(wǔ)	хоро			хОръ	huò	4
基尔什	jī'ěrshí	кирза			к’ирзА	shí	2
基法拉(琴)	jīfǎlā(qín)	кифара			к’ифАръ	fǎ	3
基里尔(字母)	jīlǐ'ěr(zìmǔ)	кириллица			к’ир’Ил’ьцъ	lǐ	3
基什拉克	jīshílākè	кишлак			к’ишлАк	lā	1
基兹利亚尔(酒)	jīzīlìyà'ěr(jiǔ)	кизлярка			к’изл’Аркъ	yà	4
吉克	jíkè	тик			т’Ик	jí	2
吉协力	jíxiélì	кисель			к’ис’Эл’	xié	2
加里哥宇(群落)	jiālǐgē(yǔqúnluò)	гарига	французский		гар’Игъ	lǐ	3
加曼察(琴)	jiāmànchá(qín)	кеманча			к’ьман’ч’А	chá	2
建克曼	jiékèmàn	чекмень			ч’икм’Эн’	màn	4
喀查普	kāchápǔ	кацап			кацАп	chá	2
喀马林	kāmǎlín	камаринская			камАр’ьнскъь	mǎ	3
喀秋莎	kāqiǔshā	катюша	卡秋莎 卡秋霞		кат’Ушъ	qiǔ	3
卡巴尔达(式长袍)	kǎbā'ěrdá(shìchángpáo)	кабарда(кабардинка-ружье)			къбардА	dá	2
卡波立	kǎbōlì	карболит	卡包立		кърбал’Ит	lì	4
卡博霍林	kǎbóhuòlín	карбохолин			карбъхал’Ин	lín	2
卡尔那号	kǎ'érnàhào	карнай	тюркские		карнАi	nà	4
卡尔图里(舞)	kǎ'ěrtúlǐ(wǔ)	картули	грузинский		картУл’ь	tú	2
卡戈尔(酒)	kǎgē'ěr(jiǔ)	кагор			кагОр	gē	1
卡拉苏克(文化)	kǎlāsūkè(wénhuà)	Карасук(ская культура)			кърасУк	sū	1
卡那乌斯	kǎnàwúsì	канаус			канАус	nà	4
卡普隆	kǎpǔlóng	капрон	卡普纶 卡玻纶		капрОн	lóng	2
卡普(呢)	kǎpǔ(ní)	капп			кАп	kǎ	3
卡萨金	kǎsàjīn	казакин			къзак’Ин	jīn	1
堪地勒(苹果)	kāndìlè(píngguǒ)	кандиль			кан’д’Ил’	dì	4
坎克列斯(琴)	kǎnkèlièsī(qín)	канклес	литовский		кАнкл’ьс	kǎn	3
坎涅勒(琴)	kǎnnièlè(qín)	каннель			кАн’ьл’	kǎn	3
康秉纳	kāngbǐngnà	комбинат			към’б’инАт	nà	4
 康达克特	kāngdǎkètè	контакт			кантАкт	dǎ	3
康密莎	kangmisha	комиссар	科密萨尔		към’исАр	sha	1
康民团	kāngmíntuán	коминтерн			къмынтЭрн	tuán	2
康沙模尔	kāngshāmó'ěr	комсомол	共莎莫勒		къмсамОл	mó	2
康沙模尔卡	kāngshāmó'ěrkǎ	комсомолка			къмсамОлкъ	mó	2
康塔里	kāngtǎlǐ	контарь	арабский		кантАр’	tǎ	3
柯布札	kēbùzhá	кобза			кОбзъ	kē	1
科尔火支	kē'ěrhuǒzhī	колхоз			калхОс	huǒ	3
科穆兹(琴)	kēmùzī(qín)	комуз			камУс	mù	4
科培兹(琴)	kēpéizī(qín)	кобыз			кабЫс	péi	2
克格勃	kègébó	КГБ			кэгэбЭ	bó	2
克拉科维克	kèlākēwéikè	краковяк			кръкав’Ак	wéi	2
克雷扎卓克	kèléizházhuōkè	крыжачок			крыжач’Ок	zhuō	1
克里姆林(宫)	kèlǐmǔlín(gōng)	Кремль	через англ		кр’Эмл’	lǐ	3
克维尔克特(呢)	kèwéi'ěrkètè(ní)	коверкот			къв’иркОт	kè	4
客里空	kèlǐkōng	крикун			кр’икУн	kōng	1
库奥克列(琴)	kù'àokèliè(qín)	кокле			кОкл’ь	ào	4
库贝兹(琴)	kùbèizī(qín)	кубыз			кубЫс	bèi	4
库莱(笛)	kùlái(dí)	курай	башкирский		курАi	lái	2
库穆兹(琴)	kùmùzī(qín)	кумуз			кумУс	mù	4
库维契基(笛)	kùwéiqìjī(dí)	кугиклы		?	куг’Иклы	qì	4
库亚维亚克	kùyàwéiyàkè	куявяк			куй’Ав’ьк	yà	4
奎耶塔尔	kuíyētǎ'ěr	квиетал			кв’ьитАл	tǎ	3
拉罗	lāluó	рало			рАлъ	lā	1
拉普	lāpǔ	ЛАПП(/РАПП)			рАп/лАп	lā	1
辣博勃	lābóbó	рабоб			рабОп	bó	2
劳塔尔	láotǎ'ěr	лауталь			лаутАл’	tǎ	3
勒涅特喀(苹果)	lèniètèkā(píngguǒ)	ранетка			ран’Эткъ	niè	4
勒兹(舞)	lèzī(wǔ)	рэз			рЭс	lè	4
雷电欧	léidiàn'ōu	радиом			ръд’иОм	ōu	1
里拉	lǐlā	лира( инструмент)			л’Иръ	lǐ	3
里斯图比亚利(舞)	lǐsītúbǐyālì(wǔ)	ристу-пяре	карельский		р’Иступ’Аръ	yā	1
里斯图孔德拉(舞)	lǐsītúkǒngdélā(wǔ)	ристу-кондра	карельский		р’ИстукОндръ	kǒng	3
里文式(手风琴)	lǐwénshī(shǒufēngqín)	ливенка			л’Ив’ьнкъ	lǐ	3
里车尔卡(曲)	lǐchē'ěrkǎ(qǔ)	ричеркар	итальянский		р’ьч’иркАр	kǎ	3
里车尔卡塔(曲)	lǐchē'ěrkǎtǎ(qǔ)	ричерката	итальянский		р’ьч’иркАтъ	kǎ	3
列夫	lièfū	ЛеФ			л’Эф	liè	4
列兹金卡(舞)	lièzījīnkǎ(wǔ)	лезгинка			л’изг’Инкъ	jīn	1
卢布	lúbù	рубль			рУбл’	lú	2
马合(烟)	mǎhé(yān)	махорка			махОркъ	hé	2
马克思列宁(主义)	mǎkèsīlièníng(zhǔyì)	маркс(изм-)ленин(изм)			маркс’Измл’ьн’ин’Изм	mǎ_liè	3_4
马克寻(鱼)	mǎkèxún(yú)	максун			максУн	xún	2
马列尔(撄桃)	mǎliè'ěr(yīngtáo)	марель			мар’Эл’	liè	4
马林(果)	mǎlín(guǒ)	малина			мал’Инъ	lín	2
马林果(酒)	mǎlínguǒ(jiǔ)	малиновка			мал’Инъфкъ	lín	2
马神	mǎshén	машина			машЫнъ	shén	2
玛组卡(饼)	mǎzǔkǎ(bǐng)	мазурка			мазУркъ	zǔ	3
美尔库萨尔	měi'ěrkùsà'ěr	меркузал			м’ъркузАл	sà	4
蒙巴谢	méngbāxiè	монпансье			мънпан’с’й’Э	xiè	4
蒙特克里斯托(枪)	méngtèkèlǐsītuō(qiāng)	Монтекристо			монтэкр’Истъ	lǐ	3
孟什维克	mèngshíwéikè	меньшевик	门室维克		м’ьн’шыв’Ик	wéi	2
米阿塞诺尔	mǐ'āsènuòěr	миарсенол			м’иарс’инОл	nuò	4
米尔	mǐ'ěr	мир( станция???)			м’Ир	mǐ	3
米格	mǐgé	МиГ	через англ		м’Ик	mǐ	3
密切里查	mìqièlǐchá	метелица			м’ит’Эл’ьцъ	qiè	4
莫罗勘(教)	mòluókān(jiào)	молокане			мълакАн’ь	kān	1
莫斯卡里	mōsīkǎlǐ	москаль			маскАл’	kǎ	3
那瓦格(鱼)	nàwǎgé(yú)	навага			навАгъ	wǎ	3
纳普	nàpǔ	НЭП			нЭп	nà	4
耐普曼	nàipǔmàn	нэпман			нЭпман	nài	4
尼莱吉斯特	níláijísītè	нирезист			н’ир’из’Ист	jí	2
尼特龙	nítèlóng	нитрон			н’итрОн	lóng	2
镍格林	niègélín	никелин			н’ьк’ил’Ин	lín	2
诺加塔	nuòjiātǎ	ногата			нагАтъ	jiā	1
诺萨里(鱼)	nuòsàlǐ(yú)	носарь			насАр’	sà	4
帕拉列比斯(鱼)	pàlālièbǐsī(yú)	паралепис			пърал’Эп’ьс	liè	4
帕明杜尔	pàmíngdù'ěr	пермендюр			п’ьрм’ин’д’Ур	dù	4
帕什得特	pàshídétè	паштет	польский		пашт’Эт	dé	2
帕西林果阿	pàxīlínguǒ'ā	пасилингва			пас’ил’Ингвъ	lín	2
品捷(狗)	pǐnjié(gǒu)	пинчер			п’Ин’ч’ьр	pǐn	3
朴罗纳尔康	pǔluónà'ěrkāng	пронаркон			прънаркОн	kāng	1
普罗美多	pǔluóměiduō	промедол			пръм’идОл	duō	1
普特	pǔtè	пуд	拨特 铺德		пУт	pǔ	3
齐巴尼特	qíbānítè	цибанит			цъбан’Ит	ní	2
齐斯特拉(琴)	qísītèlā(qín)	цистра			цЫстръ	qí	2
奇尔(鱼)	qí'ěr(yú)	чир			ч’Ир	qí	2
奇木波(笛)	qímùbō(dí)	чимпой			ч’импОй’	bō	1
契卡	qìkǎ	ЧК			ч’экА	kǎ	3
契利亚加(葡萄)	qìlìyàjiā(pútao)	чиляга			ч’ил’Агъ	yà	4
恰特	qiàtè	театр	через левый какой-то язык		т’иАтр	qià	4
锵克(琴)	qiāngqè(qín)	чанк			ч’Анк	qiāng	1
乔特卡(舞)	qiáotèkǎ(wǔ)	чечетка			ч’ич’Откъ	qiáo	2
切尔逢涅茨	qiē'ěrféngniècí	червонец			ч’ирвОн’ьц	féng	2
切列巴施	qiēlièbāshīkǎ	черепашка			ч’ьр’ипАшкъ	bā	1
若克(舞)	ruòkè(wǔ)	жок			жОк	ruò	4
萨夫火支	sàfūhuǒzhī	совхоз			сафхОс	huǒ	3
萨科利津	sàkēlìjīn	сарколизин			саркъл’из’Ин	jīn	1
萨拉玛塔	sàlāmǎtǎ	саламата			съламАта	mǎ	3
萨腊范	sàlàfàn	сарафан			сърафАн	fàn	4
萨玛瓦	sàmǎwǎ	самовар	через узбекский		съмавАр	wǎ	3
萨那特	sànàtè	сенат			с’инАт	nà	4
萨皮尚卡黎	sàpíshàngkǎlí	сапожанка			съпажАнкъ	shàng	4
赛珞切克斯	sàiluòqièkèsī	целлотекс			цылатЭкс	qiè	4
赛切	sàiqiè	сечь			с’Эч’	sài	4
散图尔(琴)	sǎntú'ěr(qín)	сантур(и)			сантУр’ь	tú	2
桑布塔尔	sāngbùtǎ'ěr	сонбутал			сънбутАл	tǎ	3
沙尔	shā'ěr	царь			цАр’	shā	1
沙尔玛风	shā'ermǎ(fēng)	сарма			сармА	mǎ	3
沙尔苏林碱	shā'ěrsūlín(jiǎn)	сальсолин			съл’сан’Ин	lín	2
沙莫瓦	shāmòwǎ	самовар			съмавАр	wǎ	3
沙普克	shāpǔkè	шапка			шАпкъ	shā	1
沙沃尼特	shāwònítè	савонит			съван’Ит	ní	2
沙油子	shāyóuzhǐ	союз			сай’Ус	yóu	2
山卡芬	shānkǎfēn	санкафен			сънкаф’Эн	fēn	1
施查普什纳(琴)	shīchápǔshínà(qín)	шичапшина			шыч’ипшЫнъ	shí	2
施切普申(琴)	shīqièpǔshēn(qín)	шичепшин			шыч’ипшЫн	shēn	1
什卡利克	shíkǎlìkè	шкалик			шкАл’ьк	kǎ	3
什托夫	shítuōfū	штоф			штОф	tuō	1
什托斯	shítuōsī	штосс			штОс	tuō	1
什维(笛)	shíwéi(dí)	шви			шв’И	wéi	2
舒姆卡(舞)	shūmǔkǎ(wǔ)	шумка			шУмкъ	shū	1
司贝兹加(笛)	sībèizíjiā(dí)	сыбызга			сыбызгА	jiā	1
司梅兹加(笛)	sīméizíjiā(dí)	сымызга			сымызгА	jiā	1
斯巴达克 运动团	sībādákè	спартак			спартАк	dá	2
斯科契那(舞)	sīkēqìnà(wǔ)	скочна			скач’нА	nà	4
斯普特尼克	sīpǔtèníkè	спутник			спУт’н’ьк	pǔ	3
斯坦尼茨	sītǎnnící	станица			стан’Ицъ	ní	2
斯特立沙克(舞)	sītèlìshākè(wǔ)	страшак			стрАшък	lì	4
斯特罗衣查(节)	sītèluóyīchā(jié)	троица(~ын день)			трОицън	luó	2
斯特维利(笛)	sītèwéilì(dí)	ствири			ств’Ир’ь	wéi	2
斯锑普锑轻	sītīpǔtīqīng	стиптицин			с’т’ьпт’ицЫн	qīng	1
斯提赫	sītíhè	штих			шт’Их	tí	2
苏达利	sūdálì	сударь			сУдър’	sū	1
苏达鲁尼亚	sūdálǔníyà	сударыня			судАрын’ь	dá	2
苏尔纳	sū'ěrnà	сурна			сурнА	nà	4
苏伏泼林	sūfúpōlín	совпрен			софпр’Эн	lín	2
苏维埃	sūwéi'āi	совет			сав’Эт	wéi	2
苏维尼特	sūwéinítè	совенит			съв’ин’Ит	ní	2
索科勒	suǒkēlè	сокол			сОкъл	suǒ	3
索里德	suǒlǐdé	солид			сал’Ит	lǐ	3
索里多尔	suǒlíduō'ěr	солидол	索里多		съл’идОл	duō	1
塔尔	tǎ'ěr	тар			тАр	tǎ	3
塔罗加多(笛)	tǎluójiāduō(dí)	тарогато			търагАтъ	jiā	1
塔齐耶	tǎqíyé	тазие			тъз’ий’Э	yé	2
泰加(群落)	tàijiā(qúnluò)	тайга	через англ		таiгА	jiā	1
特里波里(文化)	tèlǐbōlǐ(wénhuà)	триполье(~ская культура)			тр’ипОл’iь	bō	1
特连比达(号)	tèliánbǐdá(hào)	трембита			тр’им’б’Ита	bǐ	3
特烈帕克(舞)	tèlièpàkè(wǔ)	трепак			тр’ипАк	pà	4
特罗利图耳	tèluólìtú'ěr	тролитул			тръл’итУл	tú	2
替吩	tìfēn	тифен			т’иф’Эн	fēn	1
图博方(打琴)	túbófāng(dǎqín)	тубофон			тубафОн	fāng	1
托尔班(琴)	tuō'ěrbān(qín)	торбач			тОрбъч’	tuō	1
托加(喜剧)	tuōjiā(xǐqù)	тогата			тагАтъ	jiā	1
托洛茨基(派)	tuōluócíjī(pài)	троцкий(троцкист)			трацк’Ист	luó	2
托其卡	tuōqíkǎ	точка			тОч’къ	tuō	1
瓦甫尔(油)	wǎfǔ'ěr(yóu)	вапор	латынь		вАпър	wǎ	3
瓦普	wǎpǔ	ВАПП			вАп	wǎ	3
万卡	wànkǎ	ванка			вАнка	wàn	4
维得罗	wéidéluó	ведро	维德罗 维特罗		в’идрО	luó	2
维尔夫	wéi'ěrfū	вервь			в’Эрф’	wéi	2
维尔木特(酒)	wéi'ěrmùtè(jiǔ)	вермут			в’Эрмут	wéi	2
维尔勺克	wéi'ěrsháokè	вершок			в’иршОк	wéi	2
维尔斯特	wéi'ěrsītè	верста			в’ирстА	tè	4
维克萨钦(油布)	wéikèsàqīn(yóubù)	виксатин			в’ьксат’Ин	qīn	1
维洛西特	wéiluòxītè	велосит			в’ьлас’Ит	xī	1
维霜(绸)	wéishuāng(chóu)	виссон			в’исОн	shuāng	1
维斯考金(油)	wéisīkǎojīn(yóu)	вискозин			в’ьсказ’Ин	jīn	1
维特(铁)	wēitè(tiě)	вит(-железо)			в’Ит	wēi	1
沃里托李	wòlǐtuōlǐ	вольтоли			вал’тОл’ь	tuō	1
乌芦斯	wūlúsī	улус			улУс	lú	2
乌罗丹	wūluódān	уродан			урадАн	dān	1
乌维万涅茨(舞)	wūféiwànniècí(wǔ)	увиванец			ув’ивАн’ьц	wàn	4
乌治(舞)	wūzhì(wǔ)	удж			Утш	wū	1
乌兹了	wūzīliáo	узляу			узл’Ау	liáo	2
西比尔卡	xībǐ'ěrkǎ	сибирка			с’иб’Иркъ	bǐ	3
西尔赫洛姆(铁)	xī'ěrhèluòmǔ(tiě)	сильхром			с’ил’хрОм	luò	4
西拉尔(铁)	xīlā'ěr(tiě)	силал			с’илАл	lā	1
西姆德(舞)	xīmǔdé(wǔ)	симд			с’имт	xī	1
希度拿	xīdùná	гедонал			г’ьданАл	ná	2
矽罗克西康	xīluòkèxīkāng	силоксикон			с’илъкс’икОн	kāng	1
习明纳尔	xímíngnà'ěr	семинар			с’ьм’инАр	nà	4
席乐夫(钻头)	xílèfū(zuàntóu)	(сверло )Жирова			жЫръвъ	xí	2
谢朴托弗拉文	xièpǔtuōfúlāwén	септофлавин			с’иптъфлав’Ин	wén	2
雅赫维	yǎhèwéi	яхве			й’Ахв’ъ	yǎ	3
雅克(式战斗机)	yǎkè(shìzhàndòujī)	Як( КБ Яковлев)			й’Ак	yǎ	3
叶拉拿西	yèlānáxī	ералаш			й’ьралАш	ná	2
伊查菲宁	yīcháfēiníng	изафонин			изъфан’Ин	níng	2
伊达尔戈	yīdá'ěrgē	идальго	исп		идАл’гъ	dá	2
伊凡诺维基	yīfánnuòwéijī	Иванович			ивАнъв’ьч’	fán	2
伊斯拉梅(舞)	yīsīlāméi(wǔ)	исламей			ислам’Эi	méi	2
伊万古巴拉	yīwàngǔbālā	иван-купала			ивАнкупАлъ	wàn_bā	2_1
尤里耶夫(节)	yóulǐyéfū(jié)	Юрьев( день)			й’Ур’iьф	yóu	2
尤罗奇卡(舞)	yóuluóqíkǎ(wǔ)	юрочка			й’Уръч’къ	yóu	2
扎列卡(管)	zhálièkǎ(guǎn)	жалейка			жал’Эiкъ	liè	4
卓克(舞)	zhuōkè(wǔ)	джок			джОк	zhuō	1
