sheet_id	sentence_id	sentence_rus	sentence_zho	indices	proper_names	proper_zh
13	3	22 июня стало известно, что Анастасия Андрюнина из московской школы №1517 обошла своих соперников и единственная показала высшие 100 баллов по китайскому языку. 	6月22日，来自莫斯科第1517中学的安娜斯塔西娅·安德柳宁超过其他考生，成为了唯一一位在中文科目中取得满分的考生。	5_6	Анастасия_Андрюнина	安娜斯塔西娅·安德柳宁超
13	4	С успехом прилежную ученицу поздравил мэр Москвы Сергей Собянин.	莫斯科市长谢尔盖·索伯扬宁祝贺了这位勤奋的学生。	7_8_9	Москвы_Сергей_Собянин	谢尔盖·索伯扬宁
13	6	Сергей Кравцов, руководитель Федеральной службы по надзору в сфере образования и науки РФ (Рособрнадзор) сообщил, что средний балл по китайскому языку внушает оптимизм и ещё больше радует, что есть одна «100-балльница».	俄罗斯联邦教育科学监督局局长谢尔盖•克拉夫佐夫表示，中文的平均分数令人鼓舞，他很高兴有人考出了“100分”。	1_2_13	Сергей_Кравцов_РФ	谢尔盖•克拉夫佐夫
13	7	Анастасии Андрюниной 18 лет. С 6 лет Анастасия с родителями проживала в Китае, а затем вернулась в Россию и продолжила обучение в средней школе, продолжая изучать китайский язык.	阿纳斯塔西娅•安德柳宁今年18岁。从6岁开始便跟随父母到中国生活，之后返回俄罗斯并继续学习中文。	1_2_6_16	Анастасии_Андрюниной_Анастасия_Россию	阿纳斯塔西娅•安德柳宁_俄罗斯
13	11	До этого Анастасия подала документы для поступления в Московский институт международных отношений и Санкт-Петербургский государственный университет и рассмотрит все варианты	阿纳斯塔西娅也同时向莫斯科国际关系学院和圣彼得堡国立大学递交了申请材料。	3	Анастасия	阿纳斯塔西娅
14	4	Эксперт Российского института стратегических исследований Вячеслав Холодков отметил, что на встрече министров финансов и руководителей центральных банков «Большой двадцати», состоявшейся в начале июня, Всемирный банк и Международный валютный фонд сделали предупреждение о замедлении темпов роста глобальной экономки. По их словам, это обусловлено расширением сферы торгового конфликта. 	俄罗斯战略研究所专家维切斯拉夫·霍洛德科夫表示，6月初举行的G20财长和央行行长会议上，世界银行和国际货币基金组织就全球经济增长放缓的前景已发出警告，认定贸易争端范围扩大是罪魁祸首。	6_7	Вячеслав_Холодков	维切斯拉夫·霍洛德科夫
14	6	Эксперт Российского института стратегических исследований Михаил Беляев отметил, что в настоящее время интеллектуализация мировой промышленности развивается с неудержимой силой. В связи с этим, общественность с нетерпением ожидает, какие результаты будут достигнуты по этому вопросу на нынешнем саммите.	俄罗斯战略研究所专家别利亚耶夫表示，目前，全球工业智能化的发展势不可挡，G20峰会就此议题将达成哪些成果，另人期待。	6_7	Россия_Беляев	俄罗斯_别利亚耶夫
14	7	Доцент Российского университета дружбы народов Олег Тимофеев отметил, что Россия и Китай выступают против протекционизма в любых формах, в том числе и в экономической сфере, и в торговой сфере - против торговых ограничений в любой форме. В решении глобальных проблем государства решительно защищают мультилатерализм и признают ведущую роль ВТО.	俄人民友谊大学副教授奥列格·季莫费耶夫表示，中俄双方反对任何形式的保护主义，其中既包括经济领域，也包括贸易领域，反对任何形式的贸易限制，在解决全球问题中坚决维护多边主义，承认世界贸易组织的主导地位。	6_7_10	Олег_Тимофеев	奥列格·季莫费耶夫
15	6	Советник посольства России в КНР, руководитель российского культурного центра в Пекине (РКЦ) Ольга Мельникова отметила, что в современном мире добрососедские отношения между странами являются гарантией устойчивого и успешного развития. Гуманитарное сотрудничество играет важную роль в поддержании этих отношений, важнейшим направлением является сотрудничество в области науки и образования. 	俄罗斯联邦驻华大使馆参赞、北京俄罗斯文化交流中心主任奥莉加‧梅利尼科娃表示，在现代世界中，各国之间的陸邻友好关系是可持续和成功发展的保证，而人文合作在维持这种关系方面发挥着重要作用，最重要方向是科学和教育的合作。	3_13_14	России_Ольга_Мельникова	奥莉加‧梅利尼科娃
18	0	За более чем 4 часа ежегодной прямой линии Владимир Путин ответил на 81 вопрос	普京与民众连线：4个多小时回答81个问题 	8_9	Путин	普京
19	6	Во время ЭКСПО города-побратимы Хэйхэ и Благовещенск также выразили намерение расширять и укреплять сотрудничество, в таких сферах, как «зеленое» сельское хозяйство, разработка и добыча полезных ископаемых, туризм и гостеприимство, медицинские услуги и лечебно-реабилитационная деятельность и т. д.	中俄双子城黑河与俄罗斯布拉戈维申斯克也在博览会上表示要在众多领域扩大和开展合作，包括绿色农业、矿产开发、旅游接待、医疗服务和康养等。	6_8	Россия_Благовещенск	俄罗斯_布拉戈维申斯克
1	2	По мнению политологов, кандидат от КПРФ Павел Грудинин обгонит лидера ЛДПР Владимира Жириновского.	据政治学家们表示，俄共推举的候选人格鲁季宁的支持率将超过俄自民党主席日里诺夫斯基。	7_8_12_13	Грудинин_Жириновского	格鲁季宁_日里诺夫斯基
1	3	17 процентов голосов. Для Грудинина, по данным соцопросов, такой результат не достижим. По последним данным ВЦИОМ, Грудинин не сможет получить больше 10-14 процентов голосов.	社会调查显示，格鲁季宁甚至无法得到百分之17的民众选票，据全俄（社会）舆论研究中心最新数据表明，格鲁季宁的最终得票率将不会超过10％ - 14％	4_16	Грудинина_Грудинин	格鲁季宁_格鲁季宁
1	4	Большой ошибкой Грудинина был отказ от участия в дебатах. - считает глава Фонда развития гражданского общества Константин Костин.	该基金会董事会主席科斯京认为，格鲁季宁退出选前辩论是一个极大的错误。	3_16_17	Грудинина_Костин	格鲁季宁_科斯京
1	5	Жириновский сможет повторить успех 2012 года и четвертое место на выборах, по мнению политологов, достанется Ксении Собчак. 	日里诺夫斯基也许会再现2012年的得票率(6.22%），而索布恰克或将排名第四位。	1_15_16	Жириновский_Ксении_Собчак	日里诺夫斯基_索布恰克
2	1	«Моя река: Антон Чехов был здесь в 1890 году» – это первое художественное произведение, совместно подготовленное администрациями городов Хэйхэ (Китай) и Благовещенск (Россия) в честь Годов межрегионального сотрудничества РФ и КНР (2018-2019), официальное открытие которых состоялось в Харбине 7 февраля.	《星河：1890契诃夫曾来过》是由黑河市与布拉戈维申斯克市联合推出的献礼2018-2019中俄地方合作交流年的首部文艺作品。	3_4_20_21_27	Чехов_Благовещенск	契诃夫_布拉戈维申斯克
9	0	В Казани открылось генконсульство КНР	中国驻喀山总领馆正式开馆 !	2	Казани	喀山
9	4	Утром прошел дождь. Это хороший знак. Дождь питает землю и помогает расти нашему дереву — китайско-российской дружбе. Как живописны и необычайно красивы летние пейзажи Казани.	早晨下了雨，这是一个好兆头。雨滋养大地，润生中俄友谊之树。喀山夏季的独特景致美如画卷。	25	Казани	喀山
9	5	Дождь у нас тоже хорошая примета. Если какое-то дело начинается с дождем, это «хэерле сэгатьтэ» («в благой час», — прим. ред.), — сказал Рустам Минниханов.	雨是美好的象征。如果某件事开始前下了雨，这就意味着“天时”，明尼哈诺夫说道。	22_23	Рустам_Минниханов	明尼哈诺夫
9	6	Рассказала руководитель Агентства инвестиционного развития РТ Талия Минуллина, что есть проекты в разработке, связанные с сервисами, — это строительство медицинского центра в Казани и китайского ресторана. А в эту сторону надо работать, так как китайская медицина — серьезный инструмент для развития медицинского туризма.	鞑靼斯坦共和国投资发展机构的塔利亚·米卢丽娜表示，服务方面的项目正在开发，也就是在喀山建设医疗中心和中餐厅。这方面仍需努力，因为中医是发展医疗旅游的重要途径。	8_22	Минуллина	塔利亚·米卢丽娜
1	2	За законопроект было подано 247 голосов при минимально необходимых 226. Автором инициативы выступил лидер Радикальной партии Олег Ляшко. 	 该法案以247票赞成被通过，所需最低票数为226票。该法案的提出者是乌克兰“激进党”领导人奥列格·利亚什科。	15_16	Олег_Ляшко	奥列格·利亚什科
3	0	 Песков: руководство РФ пока не приняло решения об экономических мерах в отношении Грузии	佩斯科夫：俄领导层尚未决定对格鲁吉亚实施经济制裁	1_3	Песков_РФ	佩斯科夫
3	2	"Естественно, такая жесткая реакция российских парламентариев, причем абсолютное единодушие в этой позиции, которую они заняли на фоне беспрецедентного поведения грузинского телеведущего", - в беседе с журналистами оценил пресс-секретарь президента России Дмитрий Песков принятие Госдумой заявления по Грузии. 	谈到俄国家杜马通过的对格宣言问题时，俄罗斯总统新闻秘书德米特里·佩斯科夫向记者表示：“显然，俄罗斯议员强烈反应和一致立场与格鲁吉亚电视台主持人前所未有的行为有关”。	29_30_31	России_Дмитрий_Песков	俄罗斯_德米特里·佩斯科夫
5	1	В 17 лет Анна Кузина поступила на восточный факультет СПбГУ, следом получила степень магистра в Пекинском университете, после чего в китайском университете политики и права защитила докторскую по юридическим наукам. 	  安娜·库辛娜17岁时进入圣彼得堡国立大学东方系学习，后来在北京大学获得硕士学位，之后又获得中国政法大学法学博士学位。	3_9	Анна_Кузина	安娜·库辛娜
5	4	В Китае Анна Кузина встретила будущего супруга, родила двух дочек-близнецов.	在中国，安娜遇到了自己现在的丈夫，并有了一对双胞胎女儿。	3_4	Анна	安娜
6	2	 Сообщается, что накануне Петербургского экономического форума главный исполнительный директор Huawei Го Пин и министр цифрового развития и связи РФ Константин Носков обсуждали возможных переход китайских смартфонов на российский софт в связи с санкциями со стороны США.	报道称，圣彼得堡经济论坛前夕，华为轮值CEO郭平与俄罗斯数字发展、通信和大众传媒部部长康斯坦丁·诺斯科夫已就华为手机受美国制裁影响可能转用俄罗斯系统一事进行了商论。	4_19_20_21	Константин_Носков	康斯坦丁·诺斯科夫
6	3	Замену Android может составить российская ОС «Аврора», созданная на базе финской ОС Sailfish и принадлежащая компании «Ростелеком» и бизнесмену Григорию Березкину, пишет The Bell со ссылкой на источники, знакомые с ситуацией.	The Bell网站援引知情人士消息报道，操作系统“极光”（Aurora）可能会替代安卓系统，这款系统在芬兰“旗鱼”（Sailfish）操作系统基础上开发而成，其所有者是俄罗斯电信公司和企业家格里高利·别列兹金。	7_20_21	Аврора_Григорию_Березкину	格里高利·别列兹金
8	5	Общая касса фильма Антона Мегердичева после шести дней достигла 30,91 млн юаней или $4,48 млн. Это пятый результат для всех российских фильмов в Китае и третий для игрового кино.	这部由安东·梅格迪契夫执导的影片上映六天即斩获3091万元人民币（448万美元）票房，这一成绩在中国上映的所有俄罗斯影片中排名第五，竞技题材影片中排名第三。	4_5	Антона_Мегердичева	安东·梅格迪契夫
9	1	4 августа – GLAS. Профессиональный востоковед и полиглот Евгения Тихонова заявила, что российским туристам не стоит бояться ехать в Китай из-за языкового барьера. 	俄罗斯GLAS新闻网站8月4日报道，精通多国语言的东方学家叶甫盖尼娅·季霍诺娃认为，俄罗斯人不用因为语言障碍就害怕前往中国。	7_8	Евгения_Тихонова	叶甫盖尼娅·季霍诺娃
9	5	Евгения Тихонова посоветовала путешественникам, которые хотя бы минимально владеют английским, передвигаться в пределах туристической зоны Китая, так как именно там минимума знания английского будет вполне достаточно, а знание китайского и вовсе не требуется. 	叶甫盖尼娅·季霍诺娃建议游客们，哪怕只会最简单的英语，也可以去中国的景区游玩，因为在那里英语已经足够了，完全不需要懂汉语。	1_2	Евгения_Тихонова	叶甫盖尼娅·季霍诺娃
1	1	В.Путин: Дорогие друзья! Приветствую всех гостей легендарного московского стадиона «Лужники», всех, кто собрался в многочисленных фан-зонах чемпионата мира FIFA, кто видит нас на телеэкранах или в интернете. 	  普京：亲爱的朋友们！ 欢迎莫斯科卢日尼基体育场的所有来宾，欢迎所有观众席上的球迷们，欢迎电视机前及电脑前的球迷们。	2_11	Путин_Москва_Лужники	普京_莫斯科_卢日尼基
3	1	МОСКВА, 9 июля. /ТАСС/. Депутат заксобрания Владимирской области Павел Антов, чей доход составил в 2018 году 9,97 млрд рублей, занял первое место в рейтинге 100 богатейших госслужащих и депутатов России, который во вторник опубликован на сайте российского издания Forbes." Список возглавил депутат заксобрания Владимирской области Павел Антов - основатель группы компаний "Владимирский стандарт".	塔斯社报道，福布斯在本周二发布了“俄罗斯政府工作人员收入”排行榜。排在榜首的是弗拉基米尔州立法会议议员巴维尔·安托夫，弗拉基米尔标准集团公司创始人帕维尔·安多夫集团的创始人。	1_8_9_26_42_43	МОСКВА_Павел_Антов_России_Павел_Антов	巴维尔·安托夫
3	3	На второй позиции в списке оказался депутат Законодательного собрания Челябинской области Константин Струков - президент "Южуралзолото Группа компаний". 	排名第二的是车里雅宾斯克州的立法会议议员康斯坦丁·斯特鲁科夫，他也是南乌拉尔采金生产联合公司 (Yuzhuralzoloto)的所有人之一。	12_13	Константин_Струков	康斯坦丁·斯特鲁科夫
3	4	Forbes оценивает состояние Струкова в 4,5 млрд рублей.	据福布斯评估，斯特鲁科夫去年资产为45亿卢布（约合人民币4.84亿元）。	4	Струкова	斯特鲁科夫
3	5	На третьем месте рейтинга - депутат Белгородской областной думы Сергей Гусев, который владеет кондитерской фабрикой "Славянка".	排名第三的是别尔哥罗德州的杜马议员，斯拉维扬卡(Slavyanka)甜食制品厂厂长谢尔盖·古谢夫。	9_10	Славянка_Сергей_Гусев	斯拉维扬卡_谢尔盖·古谢夫
3	7	На четвертом месте расположился член Совета Федерации и совладелец "Океанрыбфлота", одного из крупнейших рыбопромышленных предприятий Камчатки, Валерий Пономарев. Его состояние оценивается в 2,4 млрд рублей.	排名第四的是联邦会议议员瓦列里·波诺马廖夫，他的收入为24亿卢布。	16_17_18	Валерий_Пономарев	瓦列里·波诺马廖夫
3	8	На пятой строчке - депутат Госдумы Григорий Аникеев с 2,3 млрд рублей.	第五名是国家杜马议员格里高利·阿尼克耶夫，23亿卢布。	6_7	Григорий_Аникеев	格里高利·阿尼克耶夫
4	1	На 20-й Международной конференции по физике «Физика связанных состояний свет-вещество в наноструктурах» (International Conference on Physics of Light-Matter Coupling in Nanostructures, (PLMCN) научный директор оптической лаборатории, профессор Университета Вестлэйк （Westlake University ）Алексей Кавокин отметил, что Китай и Россия поддерживают активное сотрудничество в области квантовых вычислений, страны добились быстрого прогресса в совместных исследованиях квантовых вычислений с использованием полупроводниковых компонентов. 	在莫斯科举行的第20届纳米结构中光与物质相互作用物理国际会议期间，西湖大学光学实验室科学主任阿列克谢·卡沃金教授表示，中俄科学家在量子技术领域积极合作，在半导体量子计算联合研究方面更是突飞猛进。	34_35_40	Москва_Алексей_Кавокин	莫斯科_阿列克谢·卡沃金
4	2	«Национальный исследовательский технологический университет РФ, Российский квантовый центр и китайский Университет Вестлэйк поддерживают активное сотрудничество в области квантовых технологий. В настоящее время страны совместно развивают полупроводниковую платформу для квантовых вычислений», - отметил Кавокин.	卡沃金说：“俄罗斯国家研究型工艺技术大学、俄罗斯量子中心与西湖大学在量子技术领域积极合作。其中，正在联合发展半导体量子计算平台。”	5_32	Кавокин	卡沃金
7	2	Премьер-министр РФ Дмитрий Медведев 29 января подписал постановление правительства, по которому молоко и молочные продукты должны продаваться в магазинах с пометкой, что в них не содержится заменителей молочного жира.	俄总理梅德韦杰夫于1月29日签署政府命令：不含乳脂替代品的牛奶及乳制品外包装应有相应标注。	2_3_4	Медведев	梅德韦杰夫
17	5	На форуме председатель Русско-Азиатского Союза промышленников и предпринимателей Виталий Манкевич в интервью газете «Жэньминь жибао» отметил, что внутреннее потребление стало важной движущей силой экономического роста в Китае, обширный потребительский рынок предоставляет большие возможности для российских товаров. 	论坛上，俄罗斯亚洲工业企业家联合会主席曼科维奇对本报记者表示，中国的国内消费已经成为拉动经济增长的重要动力，广阔的消费市场为俄罗斯商品进入中国提供了巨大机遇。	10_11	Россия_Манкевич	俄罗斯_曼科维奇
17	9	Запущены три производственные линии по сжижению газа завода «Ямал», в работе которого принимает участие Китай. Кроме этого, ожидается, что символические проекты по взаимной связи, а именно трансграничный железнодорожный мост Нижнеленинское – Тунцзян, автомобильный мост Благовещенск – Хэйхэ и восточная линия китайско-российского газопровода, будут запущены до конца этого года. 	中方参与北极开发合作的示范项目——亚马尔液化天然气三条生产线全部投产，两国互联互通标志性工程——同江铁路桥和黑河公路桥陆续合龙，东线天然气管道项目有望年内投产。	9_34	Ямал	亚马尔
17	11	Нынешний российско-китайский бизнес-форум привлек к участию представителей администраций более 10 областей РФ, в том числе Московской, Орловской и Смоленской областей. Это в полной мере свидетельствует о том, что правительства административных единиц России придают особое значение торгово-экономическому сотрудничеству с Китаем. 	此次俄中商务论坛吸引了包括莫斯科州、奥廖尔州、斯摩棱斯克州等俄罗斯10多个地区的政府代表参加，足见俄罗斯地方政府对与中国进行经贸合作的重视。	13_17_18_20_33	РФ_Московской_Орловской_Смоленской_России	莫斯科_奥廖尔_斯摩棱斯克
17	13	Манкевич считает, что в последние несколько лет китайские предприятия сосредоточивают свои инвестиции в России в таких сферах, как машиностроение, биотехнология и медицина. 	曼科维奇认为，最近几年中国企业在俄罗斯投资逐渐聚焦机械制造、生物科技、医疗等领域。	1_14	Манкевич_России	曼科维奇
17	16	«Мы создали информационную интернет-платформу для экспортеров и импортеров. На одной из встреч предпринимателей участники обсуждали темы, связанные с Китаем, в связи с этим мы запустили платформу, предоставляющую услуги на китайском языке, а также представили двухмерный штрих-код для пользователей WeChat», - отметила советник заместителя президента Сбербанка Наталья. 	“我们为出口商和进口商搭建了一个了解彼此信息的互联网平台。在一个俄罗斯企业家的会议上，大家总在谈论与中国有关的话题，于是我们开发了平台的中文服务，还引进了微信二维码。”俄罗斯储蓄银行副总裁顾问娜塔莉亚向记者介绍。	47	Наталья	俄罗斯_娜塔莉亚
8	1	СЕВЕРОМОРСК /Мурманская область/, 3 июля. /ТАСС/. 	塔斯社摩尔曼斯克州北莫尔斯克7月3日电   	1_2	Североморск_Мурманская	摩尔曼斯克_北莫尔斯克
8	2	Первым из горящего отсека глубоководного аппарата ВМФ РФ подводники эвакуировали гражданского, задраив за ним люк, чтобы не допустить распространения пожара. Об этом сообщил министр обороны Сергей Шойгу.	俄罗斯国防部部长谢尔盖·绍伊古称，首先从俄罗斯海军深潜器起火舱中被疏散出来的是公民，随后（潜艇艇员）关闭了舱门，以防火灾蔓延。	8_26_27	Сергей_Шойгу	谢尔盖·绍伊古
10	5	По словам генерального директора Московского зоопарка Светланы Акуловой, онлайн-трансляции помогут лучше узнать бамбуковых медведей.	莫斯科动物园总经理斯韦特兰娜·阿库洛娃表示，在线直播有助于公众更好地了解大熊猫。	7_8	Светланы_Акуловой	斯韦特兰娜·阿库洛娃
14	1	Журналистка Ольга Кузьменкова изложила в Facebook свою версию, из-за чего ее вместе с супругом Павлом Борисовым уволили из лондонской редакции «Би-би-си», где они работали редакторами.	女记者奥莉加·库兹缅科娃在Facebook上对于自己和丈夫帕维尔·鲍里索夫被从BBC伦敦编辑部辞退给出了自己的说法，夫妇俩本来都在这家媒体担任编辑。	2_3_15_16	Ольга_Кузьменкова_Павлом_Борисовым	奥莉加·库兹缅科娃_帕维尔·鲍里索夫
14	2	По словам журналистки, Борисов пришел на работу, но числился вне штата, что вызывало негативное отношение со стороны его новых коллег. 	女记者说，鲍里索夫来工作，但属于编外人员，这使得他的新同事不满。	4	Борисов	鲍里索夫
14	3	Начальство предупреждало его о возможном прессинге со стороны других сотрудников, что в итоге и произошло, пишет Кузьменкова.	库兹缅科娃写道，上级提前提醒过他有可能受到来自其他同事的压力，这也最终发生了。	17	Кузьменкова	库兹缅科娃
16	2	Российская молочная продукция является одним из наиболее перспективных товаров для поставок на рынок Китая. Об этом в понедельник в беседе с корреспондентом ТАСС на полях VI Российско-китайского ЭКСПО в Харбине заявил руководитель пекинского офиса консалтинговой группы "Окно в Китай" Александр Зайнигабдинов.	俄罗斯“中国之窗”咨询集团有限公司北京代表处负责人亚历山大·扎尼加布迪诺夫周一在第六届中俄博览会现场与塔斯社记者的对话中称，俄罗斯乳制品是销往中国市场的最具前景的商品之一。	41_42	Александр_Зайнигабдинов	亚历山大·扎尼加布迪诺夫
16	5	"Взять, к примеру, Уссурийский молокозавод, - продолжил эксперт. - Из Уссурийска до границы ехать час. 	“以乌苏里奶制品工厂为例，”专家继续道，“从乌苏里斯克到边境开车只需一个小时。	4_9	Уссурийский_Уссурийска	乌苏里
16	7	По словам Зайнигабдинова, производители других стран мира по такой схеме работать не смогут. "	根据扎尼加布迪诺夫的说法，其他国家的生产商无法这样工作。	3	Зайнигабдинова	扎尼加布迪诺夫
17	2	Китай занимает первое место среди стран, откуда в Москву приезжают больше всего туристов, сообщила начальник управления туризма комитета по туризму Москвы Екатерина Борисова.	莫斯科旅游委员会旅游局局长叶卡捷琳娜·鲍里索娃称，中国游客赴莫斯科旅游的人数位居首位。	9_21_22_23	Москву_Москвы_Екатерина_Борисова	莫斯科_叶卡捷琳娜·鲍里索娃
17	7	Екатерина Проничева привела, в частности, убедительный пример. В прошлом году во время чемпионата мира по футболу в Москву приехало более 2 миллионов туристов.	叶卡捷琳娜·普罗尼切娃尤其给了一个令人信服的例子。去年世界杯期间超过200万的游客来到莫斯科。	1_2_18	Екатерина_Проничева_Москву	叶卡捷琳娜·普罗尼切娃_莫斯科
17	9	Но и без чемпионата в Москву есть за чем приехать, говорила Проничева. 	普罗尼切娃说，就算没有在莫斯科举办的世界杯，也有来莫斯科的理由。	6_12	Москву_Проничева	普罗尼切娃
