idx	sheet_id	sentence_id	sentence_rus	sentence_zho	proper_names	proper_zh	wordlist	jieba	pku	stanford
10	9	5	Руководитель Федерального архивного агентства России А. Н. Артизов заявил, что выставка является прекрасным результатом, плодом тесного и продуктивного сотрудничества между архивными ведомствами России и Китая. 	俄罗斯联邦档案署署长阿尔基佐夫介绍，该展览是俄中两国档案部门合作的“果实”。	России_Артизов_России	俄罗斯_阿尔基佐夫	俄罗斯联邦	俄罗斯联邦	俄罗斯_阿尔基佐夫	俄罗斯_阿尔基佐夫
11	9	6	В дальнейшем экспонаты данного выставочного мероприятия будут представлены широкой общественности в таких городах, как Владивосток, Москва и др.	未来，这些展品将在俄罗斯符拉迪沃斯托克、莫斯科等城市展出。	Владивосток_Москва	俄罗斯_符拉迪沃斯托克	符拉迪沃斯托克	俄罗斯_符拉迪沃斯托克	俄罗斯_符拉迪沃斯托克	俄罗斯
12	10	6	Концерт открылся «Вальсом цветов» знаменитого русского композитора П. И. Чайковского. 	音乐会在著名的俄罗斯音乐大师柴可夫斯基的代表作《花之圆舞曲》旋律中拉开帷幕。	Чайковского	柴可夫斯基	柴可夫斯基	柴可夫斯基	柴可夫斯基	柴可夫斯基
13	11	0	Успешно завершился второй этап акции для детей-аутистов из Китая «Красное знамя – реабилитация и дельфинотерапия в Сочи»	第二期中国孤独症儿童“红旗•索契海豚康复之行”圆满结束	Сочи	索契	索契	索契	索契	索契
14	11	6	В ходе комплексных тренировок и занятий администрация Сочи провела переговоры с представителями Китайского фонда благосостояния инвалидов. Стороны достигли договоренностей в таких сферах, как подготовка профессионалов по освоению методики дельфинотерации, активизация научных обменов между специалистами двух стран в сфере изучения аутизма, развитие долгосрочного сотрудничества по лечению китайских и российских детей-аутистов и т.д.	本次康复训练期间，索契市政府与中国残疾人福利基金会举行会谈，就海豚康复训练技术培训、中俄孤独症专家学术交流、两国孤独症儿童康复治疗长期合作等方面并达成合作意向。	Сочи	索契	索契	索契	索契	索契
15	12	0	Китайский студент стал лауреатом XVI Международного музыкального конкурса имени П. И. Чайковского по специальности «Медные духовые инструменты»	中国选手获柴可夫斯基国际音乐比赛铜管组别第一名	Чайковского	柴可夫斯基	柴可夫斯基	柴可夫斯基	柴可夫斯基	柴可夫斯基
16	12	1	С 17 по 29 июня в Москве и Санкт-Петербурге прошёл XVI Международный музыкальный конкурс им. П. И. Чайковского, главная цель которого – выявление новых талантов. 	6月17日至29日，第十六届柴可夫斯基国际音乐比赛在俄罗斯莫斯科和圣彼得堡同时举行。比赛旨在发掘年轻音乐家。	Москве_Санкт-Петербурге_Чайковского	柴可夫斯基_俄罗斯_莫斯科_圣彼得堡	柴可夫斯基_圣彼得堡	柴可夫斯基_俄罗斯_莫斯科_圣彼得堡	柴可夫斯基_俄罗斯_莫斯科_圣彼得堡	柴可夫斯基_俄罗斯_莫斯科_圣彼得堡
17	12	15	Они вместе с Конкурсом пианистов им. Шопена и Конкурсом им. королевы Елизаветы создают тройку самых авторитетных на планете соревнований по исполнению классической музыки.	柴赛与肖邦国际钢琴比赛、伊丽莎白女王音乐比赛并称为世界最权威的三大古典音乐赛事。	Шопена_Елизаветы	肖邦_伊丽莎白	伊丽莎白	肖邦_伊丽莎白	肖邦_伊丽莎白	肖邦_伊丽莎白
18	13	3	22 июня стало известно, что Анастасия Андрюнина из московской школы №1517 обошла своих соперников и единственная показала высшие 100 баллов по китайскому языку. 	6月22日，来自莫斯科第1517中学的安娜斯塔西娅·安德柳宁超过其他考生，成为了唯一一位在中文科目中取得满分的考生。	Анастасия_Андрюнина	安娜斯塔西娅_安德柳宁超			安娜斯塔西娅	
19	13	4	С успехом прилежную ученицу поздравил мэр Москвы Сергей Собянин.	莫斯科市长谢尔盖·索伯扬宁祝贺了这位勤奋的学生。	Москвы_Сергей_Собянин	谢尔盖_索伯扬宁	谢尔盖	莫斯科_谢尔盖_索伯扬宁	莫斯科_谢尔盖	莫斯科_谢尔盖
20	13	6	Сергей Кравцов, руководитель Федеральной службы по надзору в сфере образования и науки РФ (Рособрнадзор) сообщил, что средний балл по китайскому языку внушает оптимизм и ещё больше радует, что есть одна «100-балльница».	俄罗斯联邦教育科学监督局局长谢尔盖•克拉夫佐夫表示，中文的平均分数令人鼓舞，他很高兴有人考出了“100分”。	Сергей_Кравцов_РФ	谢尔盖_克拉夫佐夫	俄罗斯联邦_克拉夫佐夫	俄罗斯联邦_谢尔盖	俄罗斯_谢尔盖•克拉夫佐夫	俄罗斯_谢尔盖
21	13	7	Анастасии Андрюниной 18 лет. С 6 лет Анастасия с родителями проживала в Китае, а затем вернулась в Россию и продолжила обучение в средней школе, продолжая изучать китайский язык.	阿纳斯塔西娅•安德柳宁今年18岁。从6岁开始便跟随父母到中国生活，之后返回俄罗斯并继续学习中文。	Анастасии_Андрюниной_Анастасия_Россию	阿纳斯塔西娅_安德柳宁_俄罗斯	阿纳斯塔西娅_俄罗斯	安德柳宁_俄罗斯	阿纳斯塔西娅_俄罗斯	阿纳斯塔西娅_俄罗斯
22	13	11	До этого Анастасия подала документы для поступления в Московский институт международных отношений и Санкт-Петербургский государственный университет и рассмотрит все варианты	阿纳斯塔西娅也同时向莫斯科国际关系学院和圣彼得堡国立大学递交了申请材料。	Анастасия	阿纳斯塔西娅_圣彼得堡	阿纳斯塔西娅_圣彼得堡	圣彼得堡	阿纳斯塔西娅_圣彼得堡	阿纳斯塔西娅_圣彼得堡
23	14	4	Эксперт Российского института стратегических исследований Вячеслав Холодков отметил, что на встрече министров финансов и руководителей центральных банков «Большой двадцати», состоявшейся в начале июня, Всемирный банк и Международный валютный фонд сделали предупреждение о замедлении темпов роста глобальной экономки. По их словам, это обусловлено расширением сферы торгового конфликта. 	俄罗斯战略研究所专家维切斯拉夫·霍洛德科夫表示，6月初举行的G20财长和央行行长会议上，世界银行和国际货币基金组织就全球经济增长放缓的前景已发出警告，认定贸易争端范围扩大是罪魁祸首。	Вячеслав_Холодков	维切斯拉夫_霍洛德科夫	霍洛德科夫		维切斯拉夫_霍洛德科夫	
24	14	6	Эксперт Российского института стратегических исследований Михаил Беляев отметил, что в настоящее время интеллектуализация мировой промышленности развивается с неудержимой силой. В связи с этим, общественность с нетерпением ожидает, какие результаты будут достигнуты по этому вопросу на нынешнем саммите.	俄罗斯战略研究所专家别利亚耶夫表示，目前，全球工业智能化的发展势不可挡，G20峰会就此议题将达成哪些成果，另人期待。	Россия_Беляев	俄罗斯_别利亚耶夫	别利亚耶夫	俄罗斯	俄罗斯_别利亚耶夫	俄罗斯_别利亚耶夫
25	14	7	Доцент Российского университета дружбы народов Олег Тимофеев отметил, что Россия и Китай выступают против протекционизма в любых формах, в том числе и в экономической сфере, и в торговой сфере - против торговых ограничений в любой форме. В решении глобальных проблем государства решительно защищают мультилатерализм и признают ведущую роль ВТО.	俄人民友谊大学副教授奥列格·季莫费耶夫表示，中俄双方反对任何形式的保护主义，其中既包括经济领域，也包括贸易领域，反对任何形式的贸易限制，在解决全球问题中坚决维护多边主义，承认世界贸易组织的主导地位。	Олег_Тимофеев	奥列格_季莫费耶夫	季莫费耶夫	奥列格	奥列格_季莫费耶夫	奥列格_季莫费耶夫
26	15	6	Советник посольства России в КНР, руководитель российского культурного центра в Пекине (РКЦ) Ольга Мельникова отметила, что в современном мире добрососедские отношения между странами являются гарантией устойчивого и успешного развития. Гуманитарное сотрудничество играет важную роль в поддержании этих отношений, важнейшим направлением является сотрудничество в области науки и образования. 	俄罗斯联邦驻华大使馆参赞、北京俄罗斯文化交流中心主任奥莉加‧梅利尼科娃表示，在现代世界中，各国之间的陸邻友好关系是可持续和成功发展的保证，而人文合作在维持这种关系方面发挥着重要作用，最重要方向是科学和教育的合作。	России_Ольга_Мельникова	奥莉加‧梅利尼科娃	俄罗斯联邦_奥莉加	俄罗斯联邦_奥莉加	俄罗斯_奥莉加_梅利尼科娃	俄罗斯_奥莉加_梅利尼科娃
27	18	0	За более чем 4 часа ежегодной прямой линии Владимир Путин ответил на 81 вопрос	普京与民众连线：4个多小时回答81个问题 	Путин	普京	普京	普京	普京	普京
28	19	6	Во время ЭКСПО города-побратимы Хэйхэ и Благовещенск также выразили намерение расширять и укреплять сотрудничество, в таких сферах, как «зеленое» сельское хозяйство, разработка и добыча полезных ископаемых, туризм и гостеприимство, медицинские услуги и лечебно-реабилитационная деятельность и т. д.	中俄双子城黑河与俄罗斯布拉戈维申斯克也在博览会上表示要在众多领域扩大和开展合作，包括绿色农业、矿产开发、旅游接待、医疗服务和康养等。	Россия_Благовещенск	俄罗斯_布拉戈维申斯克	布拉戈维申斯克	俄罗斯_布拉戈维申斯克	俄罗斯_布拉戈维申斯克	俄罗斯_布拉戈维申斯克
29	1	2	По мнению политологов, кандидат от КПРФ Павел Грудинин обгонит лидера ЛДПР Владимира Жириновского.	据政治学家们表示，俄共推举的候选人格鲁季宁的支持率将超过俄自民党主席日里诺夫斯基。	Грудинин_Жириновского	格鲁季宁_日里诺夫斯基	格鲁季宁	格鲁季宁_日里诺夫斯基	格鲁季宁_日里诺夫斯基	
30	1	3	17 процентов голосов. Для Грудинина, по данным соцопросов, такой результат не достижим. По последним данным ВЦИОМ, Грудинин не сможет получить больше 10-14 процентов голосов.	社会调查显示，格鲁季宁甚至无法得到百分之17的民众选票，据全俄（社会）舆论研究中心最新数据表明，格鲁季宁的最终得票率将不会超过10％ - 14％	Грудинина_Грудинин	格鲁季宁_格鲁季宁	格鲁季宁	格鲁季宁_格鲁季宁	格鲁季宁_格鲁季宁	
31	1	4	Большой ошибкой Грудинина был отказ от участия в дебатах. - считает глава Фонда развития гражданского общества Константин Костин.	该基金会董事会主席科斯京认为，格鲁季宁退出选前辩论是一个极大的错误。	Грудинина_Костин	格鲁季宁_科斯京	格鲁季宁	格鲁季宁	科斯京_格鲁季宁	
32	1	5	Жириновский сможет повторить успех 2012 года и четвертое место на выборах, по мнению политологов, достанется Ксении Собчак. 	日里诺夫斯基也许会再现2012年的得票率(6.22%），而索布恰克或将排名第四位。	Жириновский_Ксении_Собчак	日里诺夫斯基_索布恰克		日里诺夫斯基	日里诺夫斯基	日里诺夫斯基_索布恰克
33	2	1	«Моя река: Антон Чехов был здесь в 1890 году» – это первое художественное произведение, совместно подготовленное администрациями городов Хэйхэ (Китай) и Благовещенск (Россия) в честь Годов межрегионального сотрудничества РФ и КНР (2018-2019), официальное открытие которых состоялось в Харбине 7 февраля.	《星河：1890契诃夫曾来过》是由黑河市与布拉戈维申斯克市联合推出的献礼2018-2019中俄地方合作交流年的首部文艺作品。	Чехов_Благовещенск	契诃夫_布拉戈维申斯克	布拉戈维申斯克	契诃夫_布拉戈维申斯克	契诃夫_布拉戈维申斯克市	契诃夫_布拉戈维申斯克市
34	9	0	В Казани открылось генконсульство КНР	中国驻喀山总领馆正式开馆 !	Казани	喀山		喀山	喀山	喀山
35	9	4	Утром прошел дождь. Это хороший знак. Дождь питает землю и помогает расти нашему дереву — китайско-российской дружбе. Как живописны и необычайно красивы летние пейзажи Казани.	早晨下了雨，这是一个好兆头。雨滋养大地，润生中俄友谊之树。喀山夏季的独特景致美如画卷。	Казани	喀山		喀山	喀山	喀山
36	9	5	Дождь у нас тоже хорошая примета. Если какое-то дело начинается с дождем, это «хэерле сэгатьтэ» («в благой час», — прим. ред.), — сказал Рустам Минниханов.	雨是美好的象征。如果某件事开始前下了雨，这就意味着“天时”，明尼哈诺夫说道。	Рустам_Минниханов	明尼哈诺夫			明尼哈诺夫	
37	9	6	Рассказала руководитель Агентства инвестиционного развития РТ Талия Минуллина, что есть проекты в разработке, связанные с сервисами, — это строительство медицинского центра в Казани и китайского ресторана. А в эту сторону надо работать, так как китайская медицина — серьезный инструмент для развития медицинского туризма.	鞑靼斯坦共和国投资发展机构的塔利亚·米卢丽娜表示，服务方面的项目正在开发，也就是在喀山建设医疗中心和中餐厅。这方面仍需努力，因为中医是发展医疗旅游的重要途径。	Минуллина	塔利亚_米卢丽娜		塔利亚	塔利亚_米卢丽娜	塔利亚·米卢丽娜
38	1	2	За законопроект было подано 247 голосов при минимально необходимых 226. Автором инициативы выступил лидер Радикальной партии Олег Ляшко. 	 该法案以247票赞成被通过，所需最低票数为226票。该法案的提出者是乌克兰“激进党”领导人奥列格·利亚什科。	Олег_Ляшко	奥列格_利亚什科	亚什科	奥列格	奥列格_利亚什科	奥列格_利亚什科
39	3	0	 Песков: руководство РФ пока не приняло решения об экономических мерах в отношении Грузии	佩斯科夫：俄领导层尚未决定对格鲁吉亚实施经济制裁	Песков_РФ	佩斯科夫			佩斯科夫	
40	3	2	Естественно, такая жесткая реакция российских парламентариев, причем абсолютное единодушие в этой позиции, которую они заняли на фоне беспрецедентного поведения грузинского телеведущего, - в беседе с журналистами оценил пресс-секретарь президента России Дмитрий Песков принятие Госдумой заявления по Грузии. 	谈到俄国家杜马通过的对格宣言问题时，俄罗斯总统新闻秘书德米特里·佩斯科夫向记者表示：“显然，俄罗斯议员强烈反应和一致立场与格鲁吉亚电视台主持人前所未有的行为有关”。	России_Дмитрий_Песков	俄罗斯_德米特里_佩斯科夫	德米特里_俄罗斯	俄罗斯_德米特里	俄罗斯_德米特里_佩斯科夫	俄罗斯_德米特里
41	5	1	В 17 лет Анна Кузина поступила на восточный факультет СПбГУ, следом получила степень магистра в Пекинском университете, после чего в китайском университете политики и права защитила докторскую по юридическим наукам. 	  安娜·库辛娜17岁时进入圣彼得堡国立大学东方系学习，后来在北京大学获得硕士学位，之后又获得中国政法大学法学博士学位。	Анна_Кузина	安娜_库辛娜_圣彼得堡	圣彼得堡	安娜_库辛娜_圣彼得堡_国立大学_东方_系_学习_，_后来_在_北京大学_获得_硕士学位_，_之后_又_获得_中国政法大学_法学博士_学位_。	安娜·库辛娜_圣彼得堡	安娜·库辛娜_圣彼得堡
42	5	4	В Китае Анна Кузина встретила будущего супруга, родила двух дочек-близнецов.	在中国，安娜遇到了自己现在的丈夫，并有了一对双胞胎女儿。	Анна	安娜		安娜	安娜	安娜
43	6	2	 Сообщается, что накануне Петербургского экономического форума главный исполнительный директор Huawei Го Пин и министр цифрового развития и связи РФ Константин Носков обсуждали возможных переход китайских смартфонов на российский софт в связи с санкциями со стороны США.	报道称，圣彼得堡经济论坛前夕，华为轮值CEO郭平与俄罗斯数字发展、通信和大众传媒部部长康斯坦丁·诺斯科夫已就华为手机受美国制裁影响可能转用俄罗斯系统一事进行了商论。	Константин_Носков	康斯坦丁_诺斯科夫	诺斯科夫	康斯坦丁	康斯坦丁_诺斯科夫	_康斯坦丁_诺斯科夫
44	6	3	Замену Android может составить российская ОС «Аврора», созданная на базе финской ОС Sailfish и принадлежащая компании «Ростелеком» и бизнесмену Григорию Березкину, пишет The Bell со ссылкой на источники, знакомые с ситуацией.	The Bell网站援引知情人士消息报道，操作系统“极光”（Aurora）可能会替代安卓系统，这款系统在芬兰“旗鱼”（Sailfish）操作系统基础上开发而成，其所有者是俄罗斯电信公司和企业家格里高利·别列兹金。	Аврора_Григорию_Березкину	格里高利_别列兹金		别列兹金	格里高利_别列兹金	别列兹金
45	8	5	Общая касса фильма Антона Мегердичева после шести дней достигла 30,91 млн юаней или $4,48 млн. Это пятый результат для всех российских фильмов в Китае и третий для игрового кино.	这部由安东·梅格迪契夫执导的影片上映六天即斩获3091万元人民币（448万美元）票房，这一成绩在中国上映的所有俄罗斯影片中排名第五，竞技题材影片中排名第三。	Антона_Мегердичева	安东_梅格迪契夫		安东	安东_梅格迪契夫	安东
46	9	1	4 августа – GLAS. Профессиональный востоковед и полиглот Евгения Тихонова заявила, что российским туристам не стоит бояться ехать в Китай из-за языкового барьера. 	俄罗斯GLAS新闻网站8月4日报道，精通多国语言的东方学家叶甫盖尼娅·季霍诺娃认为，俄罗斯人不用因为语言障碍就害怕前往中国。	Евгения_Тихонова	叶甫盖尼娅_季霍诺娃			叶甫盖尼娅_季霍诺娃	叶甫盖尼娅_季霍诺娃
47	9	5	Евгения Тихонова посоветовала путешественникам, которые хотя бы минимально владеют английским, передвигаться в пределах туристической зоны Китая, так как именно там минимума знания английского будет вполне достаточно, а знание китайского и вовсе не требуется. 	叶甫盖尼娅·季霍诺娃建议游客们，哪怕只会最简单的英语，也可以去中国的景区游玩，因为在那里英语已经足够了，完全不需要懂汉语。	Евгения_Тихонова	叶甫盖尼娅_季霍诺娃			叶甫盖尼娅_季霍诺娃	叶甫盖尼娅_季霍诺娃
48	1	1	В.Путин: Дорогие друзья! Приветствую всех гостей легендарного московского стадиона «Лужники», всех, кто собрался в многочисленных фан-зонах чемпионата мира FIFA, кто видит нас на телеэкранах или в интернете. 	  普京：亲爱的朋友们！ 欢迎莫斯科卢日尼基体育场的所有来宾，欢迎所有观众席上的球迷们，欢迎电视机前及电脑前的球迷们。	Путин_Москва_Лужники	普京_莫斯科_卢日尼基	普京	 普京_莫斯科_卢日尼基	普京_莫斯科_卢日尼基	普京_莫斯科_卢日尼基
49	3	1	МОСКВА, 9 июля. /ТАСС/. Депутат заксобрания Владимирской области Павел Антов, чей доход составил в 2018 году 9,97 млрд рублей, занял первое место в рейтинге 100 богатейших госслужащих и депутатов России, который во вторник опубликован на сайте российского издания Forbes." Список возглавил депутат заксобрания Владимирской области Павел Антов - основатель группы компаний "Владимирский стандарт".	塔斯社报道，福布斯在本周二发布了“俄罗斯政府工作人员收入”排行榜。排在榜首的是弗拉基米尔州立法会议议员巴维尔·安托夫，弗拉基米尔标准集团公司创始人帕维尔·安多夫集团的创始人。	Павел_Антов	弗拉基米尔_巴维尔_安托夫_帕维尔_安多夫	弗拉基米尔州_帕维尔	弗拉基米尔_巴维尔_安托夫_帕维尔	弗拉基米尔_巴维尔_安托夫_帕维尔_安多夫	弗拉基米尔_巴维尔_安托夫_帕维尔
50	3	3	На второй позиции в списке оказался депутат Законодательного собрания Челябинской области Константин Струков - президент "Южуралзолото Группа компаний". 	排名第二的是车里雅宾斯克州的立法会议议员康斯坦丁·斯特鲁科夫，他也是南乌拉尔采金生产联合公司 (Yuzhuralzoloto)的所有人之一。	Челябинск_Константин_Струков	车里雅宾斯克_康斯坦丁_斯特鲁科夫	车里雅宾斯克州_斯特鲁科夫	车里雅宾斯克_康斯坦丁	车里雅宾斯克_康斯坦丁_斯特鲁科夫	车里雅宾斯克_康斯坦丁_斯特鲁科夫
51	3	4	Forbes оценивает состояние Струкова в 4,5 млрд рублей.	据福布斯评估，斯特鲁科夫去年资产为45亿卢布（约合人民币4.84亿元）。	Струкова	斯特鲁科夫	斯特鲁科夫		斯特鲁科夫	斯特鲁科夫
52	3	5	На третьем месте рейтинга - депутат Белгородской областной думы Сергей Гусев, который владеет кондитерской фабрикой "Славянка".	排名第三的是别尔哥罗德州的杜马议员，斯拉维扬卡(Slavyanka)甜食制品厂厂长谢尔盖·古谢夫。	Белгород_Славянка_Сергей_Гусев	别尔哥罗德_斯拉维扬卡_谢尔盖_古谢夫	别尔哥罗德州_斯拉维扬卡_古谢夫	别尔哥罗德_谢尔盖_古谢夫	别尔哥罗德_斯拉维扬卡_谢尔盖_古谢夫	别尔哥罗德_斯拉维扬卡_谢尔盖_古谢夫
53	3	7	На четвертом месте расположился член Совета Федерации и совладелец "Океанрыбфлота", одного из крупнейших рыбопромышленных предприятий Камчатки, Валерий Пономарев. Его состояние оценивается в 2,4 млрд рублей.	排名第四的是联邦会议议员瓦列里·波诺马廖夫，他的收入为24亿卢布。	Валерий_Пономарев	瓦列里_波诺马廖夫	瓦列里	瓦列里	瓦列里_波诺马廖夫	瓦列里_波诺马廖夫
54	3	8	На пятой строчке - депутат Госдумы Григорий Аникеев с 2,3 млрд рублей.	第五名是国家杜马议员格里高利·阿尼克耶夫，23亿卢布。	Григорий_Аникеев	格里高利_阿尼克耶夫			格里高利_阿尼克耶夫	阿尼克耶夫
55	4	1	На 20-й Международной конференции по физике «Физика связанных состояний свет-вещество в наноструктурах» (International Conference on Physics of Light-Matter Coupling in Nanostructures, (PLMCN) научный директор оптической лаборатории, профессор Университета Вестлэйк （Westlake University ）Алексей Кавокин отметил, что Китай и Россия поддерживают активное сотрудничество в области квантовых вычислений, страны добились быстрого прогресса в совместных исследованиях квантовых вычислений с использованием полупроводниковых компонентов. 	在莫斯科举行的第20届纳米结构中光与物质相互作用物理国际会议期间，西湖大学光学实验室科学主任阿列克谢·卡沃金教授表示，中俄科学家在量子技术领域积极合作，在半导体量子计算联合研究方面更是突飞猛进。	Москва_Алексей_Кавокин	莫斯科_阿列克谢_卡沃金		莫斯科_阿列克谢_卡沃金	莫斯科_阿列克谢_卡沃金	莫斯科_阿列克谢_卡沃金
56	4	2	«Национальный исследовательский технологический университет РФ, Российский квантовый центр и китайский Университет Вестлэйк поддерживают активное сотрудничество в области квантовых технологий. В настоящее время страны совместно развивают полупроводниковую платформу для квантовых вычислений», - отметил Кавокин.	卡沃金说：“俄罗斯国家研究型工艺技术大学、俄罗斯量子中心与西湖大学在量子技术领域积极合作。其中，正在联合发展半导体量子计算平台。”	Кавокин	卡沃金		卡沃金	卡沃金	卡沃金
57	7	2	Премьер-министр РФ Дмитрий Медведев 29 января подписал постановление правительства, по которому молоко и молочные продукты должны продаваться в магазинах с пометкой, что в них не содержится заменителей молочного жира.	俄总理梅德韦杰夫于1月29日签署政府命令：不含乳脂替代品的牛奶及乳制品外包装应有相应标注。	Медведев	梅德韦杰夫	梅德韦杰夫			
58	17	5	На форуме председатель Русско-Азиатского Союза промышленников и предпринимателей Виталий Манкевич в интервью газете «Жэньминь жибао» отметил, что внутреннее потребление стало важной движущей силой экономического роста в Китае, обширный потребительский рынок предоставляет большие возможности для российских товаров. 	论坛上，俄罗斯亚洲工业企业家联合会主席曼科维奇对本报记者表示，中国的国内消费已经成为拉动经济增长的重要动力，广阔的消费市场为俄罗斯商品进入中国提供了巨大机遇。	Россия_Манкевич	俄罗斯_曼科维奇	俄罗斯	俄罗斯	俄罗斯_曼科维奇	俄罗斯_曼科维奇
59	17	9	Запущены три производственные линии по сжижению газа завода «Ямал», в работе которого принимает участие Китай. Кроме этого, ожидается, что символические проекты по взаимной связи, а именно трансграничный железнодорожный мост Нижнеленинское – Тунцзян, автомобильный мост Благовещенск – Хэйхэ и восточная линия китайско-российского газопровода, будут запущены до конца этого года. 	中方参与北极开发合作的示范项目——亚马尔液化天然气三条生产线全部投产，两国互联互通标志性工程——同江铁路桥和黑河公路桥陆续合龙，东线天然气管道项目有望年内投产。	Ямал	亚马尔		亚马尔	亚马尔	亚马尔
